yr_district_id,winner_votes,totalvotes,year_x,district_id_x,winner_voteshare,total_dem_votes,total_rep_votes,total_dem_vote_share,total_rep_vote_share,dL1_winner,incumbent_in_race,dL2_winner,dL3_winner,dL4_winner,dL5_winner,dL6_winner,dL7_winner,dL8_winner,dL9_winner,dL10_winner,incumbent_L5_races,incumbent_L4_races,incumbent_L3_races,incumbent_L2_races,incumbent_L10_races,rep_L5_wins,rep_L10_wins,dem_L10_wins,dem_L5_wins,rep_L4_wins,rep_L3_wins,rep_L2_wins,rep_L1_wins,dem_L4_wins,dem_L3_wins,dem_L2_wins,dem_L1_wins,rep_L5_voteshare,rep_L10_voteshare,rep_L4_voteshare,rep_L3_voteshare,rep_L2_voteshare,rep_L1_voteshare,dem_L10_voteshare,dem_L5_voteshare,dem_L4_voteshare,dem_L3_voteshare,dem_L2_voteshare,dem_L1_voteshare,target,top_dem_votes,top_rep_votes,dem_incumbent_in_race,rep_incumbent_in_race,malepop_share,femalepop_share,m18_below_share,f18_below_share,18_below_share,m18_29_share,f18_29_share,18_29_share,m30_44_share,f30_44_share,30_44_share,m45_59_share,f45_59_share,45_59_share,m60_74_share,f60_74_share,60_74_share,m75_above_share,f75_above_share,75_above_share,white_share,black_share,asian_share,hispanic_share,otherrace_share,native_share,nativeinstate_share,nativeoutofstate_share,foreignborn_share,hs_below_share,hs_share,somecollege_share,college_share,graddeg_share,samehouse_share,samecounty_share,samestate_share,diffstate_share,liveabroad_share,m18_above,f18_above,18_above_share,ptransport_share,walktowork_share,workathome_share,inschool_share,incollege_share,ingradschool_share,m25_above,f25_above,m_college_share,m_graddeg_share,m_phd_share,f_college_share,f_graddeg_share,f_phd_share,poverty_share,hhinc_10k_less_share,hhinc_30k_less_share,hhinc_50k_less_share,hhinc_75k_more_share,hhinc_100k_more_share,hhinc_125k_more_share,hhinc_150k_more_share,hhinc_200k_more_share,lfpr,unemp_rate,armedforce_share,naturalresourcesemp_share,bluecollaremp_share,vacanthousing_share,renter_share,mortgage_share,housevalue_10k_less_share,housevalue_50k_less_share,housevalue_100k_less_share,housevalue_300k_more_share,housevalue_500k_more_share,housevalue_750k_more_share,housevalue_1m_more_share,mpop_share,fpop_share,median_household_income_scaled,income_lowest_quintile_scaled,income_second_quintile_scaled,income_third_quintile_scaled,income_fourth_quintile_scaled,income_highest_quintile_scaled,income_top_5_percent_scaled,median_gross_rent_scaled,median_monthly_owner_costs_scaled
2012-AK-00,185296,289804,2012,AK-00,0.6393838589999999,82927,200324,0.28614856899999996,0.691239596,1,1,1,1,1,1,1,1,1,1,1,5,4,3,2,10,5,10,0,0,4,3,2,1,0,0,0,0,0.639942693,0.646340791,0.616281751,0.6274126529999999,0.6904091509999999,0.689578705,0.33793687299999997,0.342113464,0.36221762399999996,0.347009621,0.295640782,0.305132994,0,82927.0,185296.0,0,1,0.521012401411445,0.4789875985885551,0.2543991771059109,0.257781393158368,0.25601921665078503,0.19462652259022709,0.18010018409898532,0.1876685866000227,0.20161167585949924,0.2015098971043656,0.20156292509799045,0.2132754648459435,0.21444820253742636,0.21383719165656115,0.1114370732680126,0.11085042314224144,0.1111560751330578,0.024650086330406672,0.03530989995861341,0.012843048947910187,0.6651878668232508,0.03582888212301883,0.05850031922936527,0.05972528501645364,0.24048293182436506,0.928480317834873,0.4036918500127829,0.5025941658270091,0.07151968216512702,0.08003977666521737,0.2804104228638338,0.3594686974003108,0.17124414004485636,0.10883696302578164,0.8101056943136159,0.10013958594515818,0.023741915020732817,0.04568329439236365,0.00629845689856709,284144,260040,2.0340713156156087e-06,0.016114783476878114,0.07386550073338251,0.05580718350267972,131423.87852451458,26450.11835004077,8234.198152779954,239275,225319,0.1509267579145335,0.08546233413436423,0.0123247309581026,0.19281995748250255,0.10836636058210804,0.01220491836019155,0.0989816104745512,0.03917727328721126,0.19943493171098067,0.3647511831862381,0.4463801057814195,0.30510905976928365,0.1992044537871894,0.13093132949998212,0.05876789680947026,0.7038076130994367,0.07830920914621355,0.03967364617302293,0.11747337482246148,0.0967064084125256,0.18196328032558806,0.366475793857366,0.651947286218771,0.004503628619995358,0.06083034868623258,0.1264214969860814,0.32592346340331313,0.05825236628676447,0.017029737748311142,0.005751848808545604,0.521012401411445,0.4789875985885551,1.0093952016844439,1.2339300707564722,1.0628920571524934,1.0008903956601778,0.8709430919277739,0.4076581863723302,0.11197785583010741,0.8769977299408792,0.356498398605777
2014-AK-00,142572,279741,2014,AK-00,0.509657147,114602,163862,0.409671804,0.58576326,1,1,1,1,1,1,1,1,1,1,1,5,4,3,2,10,5,10,0,0,4,3,2,1,0,0,0,0,0.6101780529999999,0.647993855,0.6170003039999999,0.655527187,0.638501428,0.691239596,0.335949289,0.37170846,0.362675167,0.33365112199999997,0.34791018700000004,0.28614856899999996,0,114602.0,142572.0,0,1,0.5233680632848852,0.4766319367151148,0.2460203017775726,0.26173430158052113,0.2535100959371929,0.2127433334543625,0.17924248896482986,0.19677576106372466,0.19757924384437034,0.20081731453794674,0.1991226117502701,0.1976803896447448,0.20250889933077032,0.19998181156784287,0.11953358818617052,0.1173202335184394,0.1184786326642524,0.026443143092779228,0.038376762067492534,0.013839548678165286,0.6563906549464391,0.0336485994907239,0.05960783568516096,0.06688456589370355,0.25035290987767606,0.925791196798836,0.4130090724985476,0.4883322565057578,0.07420880320116406,0.07148892075442492,0.2837520880406064,0.36471109257463735,0.1841001485545492,0.09594775007578216,0.7952905534169821,0.10747055917212772,0.02467790186933648,0.05136467535005945,0.0055515438449802645,290721,259242,2.025492847659537e-06,0.0130925834676555,0.0799808469117037,0.03873767785507682,131231.76686668867,26444.042038126958,7127.514029485271,242227,222922,0.1639577751448022,0.07491320125336977,0.01098556312880067,0.20598684741748235,0.0994966849391267,0.007370290953786526,0.10943871041301316,0.039305612855935486,0.18595764622945696,0.3382573830705082,0.4756367685523054,0.3392347161528325,0.22064095426161284,0.14403646573926834,0.06397125679426738,0.6999320946603943,0.07640655497190164,0.04312871177917217,0.13540226179467385,0.10286245132390497,0.19091878368349585,0.3751236686840851,0.6613784085227491,0.020146661025857982,0.07933669217850596,0.12748227632270553,0.3513070010127816,0.07077932900016666,0.017550607027934824,0.005563888568388396,0.5233680632848852,0.4766319367151148,1.0313836094863948,1.3227392375527578,1.1908035721244628,1.0322547502255548,0.8922367439363091,0.2851646607918368,0.023687796526850068,0.8295227126655119,0.43584242554481617
2016-AK-00,155088,308198,2016,AK-00,0.503208976,111019,186858,0.360219729,0.6062920589999999,1,1,1,1,1,1,1,1,1,1,1,5,4,3,2,10,5,10,0,0,4,3,2,1,0,0,0,0,0.614858655,0.649216129,0.643218405,0.627764972,0.59602766,0.58576326,0.33361995699999997,0.362184079,0.340293274,0.352013367,0.38494576700000005,0.409671804,0,111019.0,155088.0,0,1,0.5264539139014468,0.4735460860985531,0.2541778361535488,0.25054295074874544,0.2524565503966874,0.1967980377547859,0.17882221671918275,0.188285658058968,0.19676731366479505,0.20809743795560184,0.2021326496777168,0.2004183596920422,0.19619379427930586,0.1984178332753736,0.1248934258128442,0.12873981344696162,0.12671486762259834,0.026945026921983854,0.03760378685020252,0.014185365569457159,0.6441553645129897,0.03201670319479602,0.06143734819259894,0.06915273610515787,0.2623905840996153,0.9226789810943342,0.4070271494310508,0.4892491380170213,0.07732101890566577,0.0688525548542544,0.2796277698553714,0.3559215869681867,0.18970834177191406,0.1058897465502734,0.800514628774461,0.10643838607671716,0.028357150751994218,0.04218931545476847,0.008840885625170172,291298,263300,2.01548902282227e-06,0.012075390569012471,0.07615131034938975,0.05174143614734127,125300.34414900775,23280.601840163046,5738.058768452471,247350,231601,0.1571457448958965,0.08874065089953508,0.014008489993935721,0.22448521379441366,0.09914464963450073,0.010099265547212664,0.09646391533022236,0.036487595988215785,0.1655062221292078,0.3044456428996893,0.5089468261506512,0.3648437625770723,0.24139124555274724,0.1634898658982243,0.07103127968189063,0.7021151545502601,0.07979137354340286,0.03892237813848204,0.11599559330466612,0.1017626781335513,0.20022403048874696,0.3551885957145387,0.6305027619136785,0.00827013700340168,0.0655119682926068,0.1215554099179228,0.4087507411915239,0.09300627282089692,0.018418999469462908,0.003420403832350279,0.5264539139014468,0.4735460860985531,0.9996548412871297,1.3911213748580427,1.2644417173172326,0.982564606751616,0.7607220624945958,0.12436332478924654,-0.198030308725558,0.6405646014608739,0.35317043345684873
2018-AK-00,149779,282166,2018,AK-00,0.530818738,131199,149779,0.464970975,0.530818738,1,1,1,1,1,1,1,1,1,1,1,5,4,3,2,10,5,10,0,0,4,3,2,1,0,0,0,0,0.620738472,0.639747174,0.6035284129999999,0.574291352,0.568555399,0.6062920589999999,0.342877915,0.365228814,0.380252769,0.411620836,0.412595352,0.360219729,0,131199.0,149779.0,0,1,0.5214633783683318,0.4785366216316682,0.24382284019742026,0.25738731537007903,0.250313938320751,0.1941930031935631,0.17186930644965384,0.18351029677140288,0.20719795943760108,0.20516977902315975,0.20622740083401486,0.1860146820953092,0.1872639604089046,0.18661250751897485,0.13766278876861185,0.1381931478253992,0.13791658499989862,0.031108726307494505,0.04011649092280358,0.01622211574353831,0.6418751140518657,0.029882602612886007,0.06675497941997445,0.06990044539365635,0.2614873039152738,0.9213471299481614,0.42451760284943796,0.4704316736393189,0.07865287005183869,0.08313796175354732,0.2764592647660421,0.3524143358785284,0.17950789204275264,0.1084805455591296,0.8053636480376322,0.1098196121898634,0.022876607708892327,0.04082076791543603,0.009060618144215628,291715,262899,2.0259529253813567e-06,0.01658781264055659,0.07352782095296656,0.04550190445283277,124407.7017819675,23516.972797040708,6135.616700473413,250605,230956,0.15598252229604356,0.08504219788112767,0.011899203926497877,0.20503472522904795,0.11416027295242386,0.006841129912191067,0.10815428598463088,0.04392979209622679,0.18163762607630984,0.3248132535165769,0.4894014142082866,0.35436964836225426,0.2368220594158913,0.15732169848568842,0.07289593644437886,0.6801478028457979,0.07573228595388065,0.042602691236296286,0.10846495181609556,0.11105595255202684,0.2089390727139648,0.3645075994751557,0.6419884024500452,0.010637363189075207,0.07121071392710111,0.11503413997389295,0.4235867054925193,0.08973039461793353,0.019272768350235968,0.0056356059845366,0.5214633783683318,0.4785366216316682,0.6212696861642087,0.8741598563738515,0.7845482869620459,0.6680897893610475,0.5307867281470114,0.06396554024728297,-0.1369739306011644,0.4691086536692278,0.3282116914640342
2012-AL-01,196374,200676,2012,AL-01,0.978562459,0,196374,0.0,0.978562459,1,1,1,1,1,1,0,0,0,0,0,5,4,3,2,5,5,10,0,0,4,3,2,1,0,0,0,0,0.819875245,0.8044458790000001,0.867036725,0.929036346,0.9022009059999999,0.825839353,0.17289722600000001,0.137268778,0.07954908599999999,0.0,0.0,0.0,0,,196374.0,0,1,0.4852222363288013,0.5147777636711988,0.2503649743551624,0.22513599636782494,0.23737765748713094,0.15817141158106,0.1504101611217143,0.15417609242630595,0.1856715974132164,0.18645165087399213,0.1860731515892985,0.2067375306623058,0.21231408224522227,0.20960821541515665,0.1458737827993756,0.15340894759410445,0.14975271808130006,0.0531807031888798,0.0722791617971419,0.025804564009316782,0.6782290921262205,0.2771447450428199,0.014067946261628307,0.02933623415895293,0.030558216569331276,0.968620876711064,0.6761804321229888,0.2873144664250594,0.03137912328893608,0.1455463639240302,0.3333699276508816,0.29981078585220633,0.14469393158584706,0.07657899098703484,0.8413889914821909,0.10820243069181228,0.0161743149973454,0.020007617552688074,0.0032042773712518176,252121,276480,2.1994226663699657e-06,0.003937007874015748,0.011362320518758684,0.032212540528022235,112221.12754058916,22201.391637521294,3275.1742730645815,220722,243831,0.14158534264821812,0.06091372858165475,0.008390645246056127,0.14750790506539366,0.07573688333312828,0.007427275448979005,0.1884897047621246,0.11099590092089412,0.3735159953600961,0.5723493056928339,0.2479290139458205,0.14084943064201502,0.07749087125012588,0.049580581032341316,0.01961142669585877,0.5804594552142578,0.11570652981594085,0.004892829723232603,0.11339452893090378,0.15357760829743294,0.17941223280526922,0.3346474754670675,0.583091817228834,0.0165875316026392,0.12955540482210026,0.3719665670704704,0.1052487008582464,0.028780124112183062,0.01169367722984298,0.00583002124594281,0.4852222363288013,0.5147777636711988,-0.8334085911568947,-1.075404532918244,-0.9163155221268465,-0.8183468502947987,-0.7678298400290208,-0.7326641515797702,-0.7183395156950626,-0.6132101472978322,-0.9006464380494565
2014-AL-01,103758,152234,2014,AL-01,0.6815691629999999,48278,103758,0.317130207,0.6815691629999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,4,3,2,1,0,0,0,0,0.829943213,0.8053380370000001,0.86716955,0.828656992,0.830065811,0.978562459,0.17194589100000002,0.12706531,0.079282552,0.105710069,0.158565104,0.0,0,48278.0,103758.0,0,0,0.4838522179789117,0.5161477820210884,0.2445808862786973,0.22383307891436785,0.23387195152579784,0.15441359672539598,0.14543589059150325,0.14977977361675013,0.18893338079136265,0.17929724754826315,0.18395971199067715,0.20670641276620988,0.20883209182439247,0.20780357729737955,0.14828557869134484,0.16603409492190868,0.15744643597791566,0.05708014474698937,0.07656759619956457,0.027618464525679013,0.6723126138266864,0.2788816604308659,0.014002924870440294,0.030942201517545637,0.034802800872007496,0.969735197328293,0.6856438805194731,0.273416544318676,0.030264802671706968,0.13549585971335826,0.3272034207158416,0.30662700127980197,0.15065430937306654,0.08001940891793162,0.8649436051109168,0.08294117393794051,0.01721913422112767,0.019693362208894304,0.0013691493621400062,254682,279143,2.198081805679724e-06,0.00443565626336041,0.00837608664671512,0.032521020379079384,107100.08858279859,19665.88837681377,4408.501936263167,222482,249466,0.14722988826062333,0.06169937343245746,0.008782732985140372,0.1537083209735996,0.08180673919492035,0.006718350396446811,0.17392215366907632,0.09819704429638508,0.35518579883510965,0.5565308672440199,0.2675800911074292,0.16277521219883825,0.09494208842042592,0.055761193562159465,0.024570804103359538,0.5628496317001819,0.08298559828701524,0.003854777675697554,0.10465906953640787,0.1610829527534373,0.2228976172792909,0.32004324273510304,0.5943431550447882,0.02908493908234684,0.12269938650306747,0.34843169446124606,0.1107232351162188,0.03611855180160719,0.01486793974480832,0.00605432184106685,0.4838522179789117,0.5161477820210884,-0.7911711412945651,-0.8800283154107188,-0.874570242693896,-0.8091600921906229,-0.7560002935347875,-0.7147870951370822,-0.716423817101717,-0.5990619928213283,-0.841108922983509
2016-AL-01,208083,215893,2016,AL-01,0.963824672,0,208083,0.0,0.963824672,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,10,0,0,4,3,2,1,0,0,0,0,0.886500575,0.8357488470000001,0.8624489120000001,0.874652098,0.822696917,0.6815691629999999,0.138126879,0.063426041,0.079282552,0.105710069,0.158565104,0.317130207,0,,208083.0,0,1,0.4808795994645521,0.5191204005354478,0.2417588905387016,0.21641080891883466,0.22860018425539105,0.15523425207891156,0.14910663990505826,0.15205328359289494,0.18265492577318976,0.17857084260783487,0.18053479488457067,0.1973733539182723,0.20274652855634975,0.200162678488538,0.16403697023547714,0.174220258245875,0.1693233227862027,0.05894160745544767,0.0789449217660474,0.028343928649898813,0.6740950831633442,0.2734687851778036,0.013093772934330979,0.03026160574740545,0.03934235872452116,0.9730274523498241,0.6830793078924619,0.28297113947338165,0.02697254765017595,0.12915918846716898,0.3270654304548124,0.3033964121184051,0.15243120745697106,0.08794776150264252,0.8812688354292739,0.06540640521706789,0.013424524137030365,0.02557288805420345,0.0030434788780578518,256861,286557,2.188679082672844e-06,0.005405574303212098,0.010720882111958228,0.05335791359413407,106627.16898361553,18846.43205531536,3775.3830612564757,226874,256754,0.15922935197510513,0.06833308356180083,0.007149342807020637,0.14642420371250306,0.09289826059185056,0.0060641703731976904,0.17230718127579114,0.10023865445784592,0.33450580372845584,0.5264467717351428,0.3028188457596284,0.19090087330133626,0.11355564884889882,0.07473553228264858,0.033914651719560214,0.5517752817759737,0.056638143937684175,0.002733013517163325,0.12017479637594948,0.1387846618468015,0.20601854632376787,0.31895355126154035,0.5779039029699892,0.01808761134682453,0.11343492458404605,0.3098551658262434,0.1217095763822556,0.0345536130795033,0.01483883866095031,0.004803740809027701,0.4808795994645521,0.5191204005354478,-0.7952437124804247,-1.1092515314852307,-0.946192228913152,-0.8211310736370597,-0.7247901201108512,-0.6725536158376637,-0.6974482212472092,-0.6865888210678329,-0.8804087232130201
2018-AL-01,153228,242617,2018,AL-01,0.6315633279999999,89226,153228,0.367764831,0.6315633279999999,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,2,5,10,0,0,4,3,2,1,0,0,0,0,0.816271795,0.799514528,0.813879905,0.758985721,0.797694,0.963824672,0.17490336199999998,0.136979008,0.17122376,0.228298346,0.18388241600000002,0.0,0,89226.0,153228.0,0,1,0.4818673693948781,0.5181326306051218,0.24184263269811995,0.2147948955878812,0.22782831751727614,0.15368750527243585,0.14679378099290932,0.15011564177681838,0.17845413635319066,0.18200091440072932,0.1802918377931344,0.1992297153030087,0.19543557127050304,0.1972638454745518,0.17053021069380891,0.1836890388241564,0.17734822892866656,0.0562557996794359,0.07728579892382068,0.027107942537669683,0.6725333258575013,0.2786602374511151,0.015022217238334197,0.030804165907402474,0.033784219453049436,0.9652598085252521,0.6866079813851782,0.270165823299365,0.034740191474748036,0.12237524941988287,0.33522032258982165,0.29263505248485194,0.1641619695128642,0.08560740599257938,0.8843722403666896,0.0689070800801783,0.013397625488849329,0.019157286833658062,0.001633002060526205,260631,290244,2.163359739440152e-06,0.003294927055702918,0.007066478779840848,0.0484775641025641,107042.25548294543,19568.960988444163,2710.3159994259304,231630,260512,0.1506626948150067,0.07283167119975824,0.007654448905582178,0.17616462965237684,0.08450282520574869,0.0056580886868935025,0.16695028104456064,0.08891841372930459,0.31883020721108274,0.5152296148531097,0.30855150202338216,0.19257725208334125,0.1193509949405929,0.06997133383330986,0.03407200423330377,0.5508113292078515,0.05847157229015518,0.003272563211305912,0.11199277140485177,0.14574609100874678,0.22595084232828555,0.3151679426219835,0.5700841064867058,0.0145254626412661,0.10566954433518076,0.29313862283271536,0.1469834510898266,0.04016876886559083,0.010411860515534407,0.004941881472669561,0.4818673693948781,0.5181326306051218,-0.8481730885513339,-1.0200379927620644,-0.9288780551625193,-0.8767954878574816,-0.8057145727250752,-0.6753289656341609,-0.5885930891122583,-0.7137653873607794,-0.9053055782451219
2012-AL-02,180591,283953,2012,AL-02,0.635989055,103092,180591,0.363060084,0.635989055,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,9,1,1,3,2,2,1,1,1,0,0,0.610154568,0.6527431220000001,0.584140939,0.547274932,0.5728592020000001,0.50972935,0.345410327,0.38844263700000004,0.414407043,0.451100171,0.42548287,0.487905656,0,103092.0,180591.0,0,1,0.484388463423376,0.5156115365766241,0.2500641778738852,0.2247839434365903,0.2370293973506543,0.17099401711208628,0.15751559068701165,0.16404438495241858,0.193041004376176,0.1923485050531417,0.192683943736148,0.2005007384230666,0.20382801727317607,0.20221632178359045,0.1360691731775749,0.14631129168629098,0.14135012763965388,0.049330889037211084,0.07521265186378932,0.023895423570036302,0.6600337934212548,0.2990439826497846,0.0130521603651445,0.03430544278890815,0.027870063563816168,0.9708835297301648,0.6971641321600726,0.26268313913088004,0.02911647026983535,0.1639038088073202,0.3311296079220393,0.28849703448396524,0.14041587207166226,0.07605367671501304,0.8320496222012537,0.07742497055876177,0.041529335176610865,0.029799653288275437,0.005461075391513609,248312,273228,2.231173156451141e-06,0.00312078062265986,0.013113691178094685,0.019597504800515857,112308.81487499985,24020.55855019393,4872.3016401389705,214490,242766,0.14081775374143315,0.0655834770851788,0.005795141964660357,0.14006079928820345,0.07533180099354934,0.0048524093159668154,0.18690980374946056,0.1038557119116952,0.37791770212376696,0.5851374426369471,0.2384664054519675,0.13884145690719762,0.07957265478495525,0.043123294354408384,0.01651903462365264,0.5829834483551235,0.09085684413547676,0.02072827172191874,0.1074882469818054,0.17376892321361445,0.14770394241014578,0.3304302419539266,0.5764810355721776,0.038105321880105424,0.19594583055825948,0.4540134683584656,0.08079307341564629,0.018472030101724247,0.006665869722378765,0.002999925998030409,0.484388463423376,0.5156115365766241,-0.8767034636031328,-0.9539033333576689,-0.9477632648103597,-0.8720618661799073,-0.8384123640462124,-0.7970532893324095,-0.8058135188506039,-0.8295964965955082,-1.143065152285022
2014-AL-02,113103,167952,2014,AL-02,0.67342455,54692,113103,0.325640659,0.67342455,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,2,4,9,1,1,3,3,2,1,1,0,0,0,0.601997661,0.646530354,0.578812336,0.606380985,0.654706802,0.635989055,0.351561529,0.396653766,0.41973529299999995,0.39220213299999995,0.344350372,0.363060084,0,54692.0,113103.0,0,1,0.4878356434067861,0.5121643565932139,0.24817251461988304,0.2151476266378184,0.231258344114986,0.17124897298342273,0.16038392708147514,0.16568428373969604,0.18969600309313228,0.19135358464291674,0.19054495728107845,0.1952660577062491,0.2010467076756645,0.19822670057852526,0.1426042723889614,0.1530932254593372,0.14797634028958684,0.053012179208351454,0.07897492850278796,0.025861346927934112,0.6539428429965429,0.3085090079602489,0.011322945616263545,0.03202371865338878,0.026225203426944604,0.9736760670888948,0.6911461756323845,0.27053204876941805,0.02632393291110515,0.16437844173651506,0.32434261450339474,0.2951987084503616,0.1320874892186567,0.08399274609107195,0.8312329986354701,0.08511955109029769,0.042642295711014376,0.024567432237681656,0.0040670653176584325,248897,272788,2.264412086172123e-06,0.004303452845680703,0.012499819939211478,0.03008095533051958,108120.76377182663,22218.681272978007,4499.310614807427,213623,238547,0.12295492526553788,0.07585793664539868,0.008683521905412807,0.1402658595580745,0.07665156132753713,0.006849803183439742,0.19305592804241534,0.09857518071729077,0.3669083978337169,0.5750683742804237,0.2505791475877244,0.14870340670494075,0.08309508867350023,0.049345698812263215,0.02018300288992709,0.5767761239407585,0.09175230324374176,0.0207152132268806,0.11283949756104852,0.1674929372549215,0.1650585925497058,0.3371684912721103,0.5718401888931748,0.04610700050262417,0.18228892707274025,0.4279903215625767,0.07186356676134703,0.020853058409603633,0.008287454267045389,0.0037638367757244218,0.4878356434067861,0.5121643565932139,-0.883909563992453,-0.8964183420832945,-0.9472805320350939,-0.8969846614436431,-0.9018981346095118,-0.8610485883919234,-0.8910803328682086,-0.9065264176242703,-1.1040762163977191
