,yr_district_id,winner_votes,totalvotes,year,state,winner,winner_party,writein,district_id,winner_voteshare,total_dem_votes,total_rep_votes,total_dem_vote_share,total_rep_vote_share
0,1976-AK-00,83722,118208,1976,Alaska,Don Young,republican,FALSE,AK-00,0.708260016,34194,83722,0.289269762,0.708260016
435,1978-AK-00,68811,124187,1978,Alaska,Don Young,republican,FALSE,AK-00,0.554091813,55176,68811,0.444297712,0.554091813
870,1980-AK-00,114089,154618,1980,Alaska,Don Young,republican,FALSE,AK-00,0.737876573,39922,114089,0.258197623,0.737876573
1305,1982-AK-00,128274,181084,1982,Alaska,Don Young,republican,FALSE,AK-00,0.708367388,52011,128274,0.287220296,0.708367388
1740,1984-AK-00,113582,206437,1984,Alaska,Don Young,republican,FALSE,AK-00,0.550201756,86052,113582,0.41684388,0.550201756
2175,1986-AK-00,101799,180277,1986,Alaska,Don Young,republican,FALSE,AK-00,0.564681019,74053,105981,0.410773421,0.587878653
2610,1988-AK-00,120595,192955,1988,Alaska,Don Young,republican,FALSE,AK-00,0.624990283,71881,120595,0.372527273,0.624990283
3045,1990-AK-00,99003,191647,1990,Alaska,Don Young,republican,FALSE,AK-00,0.516590398,91677,99003,0.478363867,0.516590398
3480,1992-AK-00,111849,239116,1992,Alaska,Don Young,republican,FALSE,AK-00,0.467760418,111907,111849,0.468002978,0.467760418
3915,1994-AK-00,118537,208240,1994,Alaska,Don Young,republican,FALSE,AK-00,0.569232616,89449,118537,0.429547637,0.569232616
4350,1996-AK-00,138834,233700,1996,Alaska,Don Young,republican,FALSE,AK-00,0.59406932,89627,138834,0.383513051,0.59406932
4772,1998-AK-00,139676,223300,1998,Alaska,Don Young,republican,FALSE,AK-00,0.625508285,83155,139676,0.372391402,0.625508285
5207,2000-AK-00,190862,274393,2000,Alaska,Don Young,republican,FALSE,AK-00,0.695578969,67812,195664,0.247134584,0.713079415
5642,2002-AK-00,169685,227725,2002,Alaska,Don Young,republican,FALSE,AK-00,0.745131189,53792,173482,0.236214733,0.761804808
6077,2004-AK-00,213216,299996,2004,Alaska,Don Young,republican,FALSE,AK-00,0.710729476,78508,220373,0.261696823,0.734586461
6512,2006-AK-00,132743,234645,2006,Alaska,Don Young,republican,FALSE,AK-00,0.565718426,95698,136772,0.407841633,0.582889045
6943,2008-AK-00,158939,316978,2008,Alaska,Don Young,republican,FALSE,AK-00,0.501419657,142560,158939,0.449747301,0.501419657
7378,2010-AK-00,175384,254335,2010,Alaska,Don Young,republican,FALSE,AK-00,0.689578705,77606,175384,0.305132994,0.689578705
7813,2012-AK-00,185296,289804,2012,Alaska,Don Young,republican,FALSE,AK-00,0.639383859,82927,200324,0.286148569,0.691239596
8248,2014-AK-00,142572,279741,2014,Alaska,Don Young,republican,FALSE,AK-00,0.509657147,114602,163862,0.409671804,0.58576326
8683,2016-AK-00,155088,308198,2016,Alaska,Don Young,republican,FALSE,AK-00,0.503208976,111019,186858,0.360219729,0.606292059
9118,2018-AK-00,149779,282166,2018,Alaska,Don Young,republican,FALSE,AK-00,0.530818738,131199,149779,0.464970975,0.530818738
1,1976-AL-01,98257,157170,1976,Alabama,Jack Edwards,republican,FALSE,AL-01,0.625163835,58906,98257,0.374791627,0.625163835
436,1978-AL-01,71711,112161,1978,Alabama,Jack Edwards,republican,FALSE,AL-01,0.639357709,40450,71711,0.360642291,0.639357709
871,1980-AL-01,111089,117221,1980,Alabama,Jack Edwards,republican,FALSE,AL-01,0.947688554,0,117219,0,0.999982938
1306,1982-AL-01,87901,144028,1982,Alabama,Jack Edwards,republican,FALSE,AL-01,0.610304941,54315,89713,0.377114172,0.622885828
1741,1984-AL-01,102479,200934,1984,Alabama,Sonny Callahan,republican,FALSE,AL-01,0.510013238,98455,102479,0.489986762,0.510013238
2176,1986-AL-01,96469,96469,1986,Alabama,Sonny Callahan,republican,FALSE,AL-01,1,0,96469,0,1
2611,1988-AL-01,115173,194363,1988,Alabama,Sonny Callahan,republican,FALSE,AL-01,0.592566486,77670,116656,0.399613095,0.600196539
3046,1990-AL-01,82185,82530,1990,Alabama,Sonny Callahan,republican,FALSE,AL-01,0.995819702,0,82185,0,0.995819702
3481,1992-AL-01,128874,214204,1992,Alabama,Sonny Callahan,republican,FALSE,AL-01,0.601641426,78742,135422,0.367602846,0.632210416
3916,1994-AL-01,103431,153767,1994,Alabama,Sonny Callahan,republican,FALSE,AL-01,0.672647577,50227,103431,0.326643558,0.672647577
4351,1996-AL-01,132206,205417,1996,Alabama,Sonny Callahan,republican,FALSE,AL-01,0.643598144,69470,135517,0.338190121,0.659716577
4773,1998-AL-01,112872,113564,1998,Alabama,Sonny Callahan,republican,FALSE,AL-01,0.99390652,0,112872,0,0.99390652
5208,2000-AL-01,151188,165669,2000,Alabama,Sonny Callahan,republican,FALSE,AL-01,0.912590768,0,165219,0,0.99728374
5643,2002-AL-01,108102,178687,2002,Alabama,Jo Bonner,republican,FALSE,AL-01,0.604979657,67507,111059,0.377794691,0.621528147
6078,2004-AL-01,161067,255164,2004,Alabama,Jo Bonner,republican,FALSE,AL-01,0.631229327,93938,161067,0.368147544,0.631229327
6513,2006-AL-01,112944,165841,2006,Alabama,Jo Bonner,republican,FALSE,AL-01,0.681037862,52770,112944,0.318196345,0.681037862
6944,2008-AL-01,210660,214367,2008,Alabama,Jo Bonner,republican,FALSE,AL-01,0.982707226,0,210660,0,0.982707226
7379,2010-AL-01,129063,156281,2010,Alabama,Jo Bonner,republican,FALSE,AL-01,0.825839353,0,129063,0,0.825839353
7814,2012-AL-01,196374,200676,2012,Alabama,Jo Bonner,republican,FALSE,AL-01,0.978562459,0,196374,0,0.978562459
8249,2014-AL-01,103758,152234,2014,Alabama,Bradley Byrne,republican,FALSE,AL-01,0.681569163,48278,103758,0.317130207,0.681569163
8684,2016-AL-01,208083,215893,2016,Alabama,Bradley Byrne,republican,FALSE,AL-01,0.963824672,0,208083,0,0.963824672
9119,2018-AL-01,153228,242617,2018,Alabama,Bradley Byrne,republican,FALSE,AL-01,0.631563328,89226,153228,0.367764831,0.631563328
2,1976-AL-02,90069,156362,1976,Alabama,Bill Dickinson,republican,FALSE,AL-02,0.576028703,66288,90069,0.42393932,0.576028703
437,1978-AL-02,57924,107265,1978,Alabama,Bill Dickinson,republican,FALSE,AL-02,0.54000839,49341,57924,0.45999161,0.54000839
872,1980-AL-02,104796,172962,1980,Alabama,Bill Dickinson,republican,FALSE,AL-02,0.605890311,63447,108899,0.366826239,0.629612285
1307,1982-AL-02,83290,165194,1982,Alabama,Bill Dickinson,republican,FALSE,AL-02,0.504195068,81904,83290,0.495804932,0.504195068
1742,1984-AL-02,118153,195815,1984,Alabama,Bill Dickinson,republican,FALSE,AL-02,0.603390956,75506,120309,0.385598652,0.614401348
2177,1986-AL-02,115302,172870,1986,Alabama,Bill Dickinson,republican,FALSE,AL-02,0.666986753,57568,115302,0.333013247,0.666986753
2612,1988-AL-02,120408,127861,1988,Alabama,Bill Dickinson,republican,FALSE,AL-02,0.941710138,0,127760,0,0.99921008
3047,1990-AL-02,87649,170911,1990,Alabama,Bill Dickinson,republican,FALSE,AL-02,0.512834165,83243,87649,0.487054666,0.512834165
3482,1992-AL-02,112906,228160,1992,Alabama,Terry Everett,republican,FALSE,AL-02,0.494854488,109335,116056,0.479203191,0.508660589
3917,1994-AL-02,124465,169213,1994,Alabama,Terry Everett,republican,FALSE,AL-02,0.735552233,44694,124465,0.264128643,0.735552233
4352,1996-AL-02,132563,209793,1996,Alabama,Terry Everett,republican,FALSE,AL-02,0.631875229,74317,135216,0.354239655,0.644521028
4774,1998-AL-02,131428,189669,1998,Alabama,Terry Everett,republican,FALSE,AL-02,0.692933479,58136,131428,0.306512925,0.692933479
5209,2000-AL-02,151830,222636,2000,Alabama,Terry Everett,republican,FALSE,AL-02,0.681965181,64958,155941,0.291767728,0.700430299
5644,2002-AL-02,129233,187965,2002,Alabama,Terry Everett,republican,FALSE,AL-02,0.687537573,55495,132181,0.295241135,0.703221344
6079,2004-AL-02,177086,247947,2004,Alabama,Terry Everett,republican,FALSE,AL-02,0.714209085,70562,177086,0.284585012,0.714209085
6514,2006-AL-02,124302,178919,2006,Alabama,Terry Everett,republican,FALSE,AL-02,0.69473896,54450,124302,0.304327657,0.69473896
6945,2008-AL-02,144368,287394,2008,Alabama,Bobby Bright,democrat,FALSE,AL-02,0.502334774,144368,142578,0.502334774,0.496106391
7380,2010-AL-02,111645,219028,2010,Alabama,Martha Roby,republican,FALSE,AL-02,0.50972935,106865,111645,0.487905656,0.50972935
7815,2012-AL-02,180591,283953,2012,Alabama,Martha Roby,republican,FALSE,AL-02,0.635989055,103092,180591,0.363060084,0.635989055
8250,2014-AL-02,113103,167952,2014,Alabama,Martha Roby,republican,FALSE,AL-02,0.67342455,54692,113103,0.325640659,0.67342455
8685,2016-AL-02,134886,276584,2016,Alabama,Martha Roby,republican,FALSE,AL-02,0.487685477,112089,134886,0.405262054,0.487685477
9120,2018-AL-02,138879,226230,2018,Alabama,Martha Roby,republican,FALSE,AL-02,0.6138841,86931,138879,0.384259382,0.6138841
3,1976-AL-03,106935,108048,1976,Alabama,Bill Nichols,democrat,FALSE,AL-03,0.989699023,106935,0,0.989699023,0
438,1978-AL-03,74895,74897,1978,Alabama,Bill Nichols,democrat,FALSE,AL-03,0.999973297,74895,0,0.999973297,0
873,1980-AL-03,107654,109215,1980,Alabama,Bill Nichols,democrat,FALSE,AL-03,0.985707092,107654,0,0.985707092,0
1308,1982-AL-03,100864,104784,1982,Alabama,Bill Nichols,democrat,FALSE,AL-03,0.962589708,100864,3920,0.962589708,0.037410292
1743,1984-AL-03,120357,125102,1984,Alabama,Bill Nichols,democrat,FALSE,AL-03,0.96207095,120357,4745,0.96207095,0.03792905
2178,1986-AL-03,115127,142896,1986,Alabama,Bill Nichols,democrat,FALSE,AL-03,0.805669858,115127,27769,0.805669858,0.194330142
2613,1988-AL-03,117514,122310,1988,Alabama,Bill Nichols,democrat,FALSE,AL-03,0.960788161,117514,4793,0.960788161,0.039187311
3048,1990-AL-03,101923,138242,1990,Alabama,Glen Browder,democrat,FALSE,AL-03,0.737279553,101923,36317,0.737279553,0.262705979
3483,1992-AL-03,119175,197604,1992,Alabama,Glen Browder,democrat,FALSE,AL-03,0.60310014,119175,78370,0.60310014,0.396601283
3918,1994-AL-03,93924,147745,1994,Alabama,Glen Browder,democrat,FALSE,AL-03,0.635716945,93924,53757,0.635716945,0.363849876
4353,1996-AL-03,98353,195047,1996,Alabama,Bob Riley,republican,FALSE,AL-03,0.504252821,92325,100336,0.47334745,0.514419601
4775,1998-AL-03,101731,175217,1998,Alabama,Bob Riley,republican,FALSE,AL-03,0.580600056,73357,101731,0.418663714,0.580600056
5210,2000-AL-03,147317,169519,2000,Alabama,Bob Riley,republican,FALSE,AL-03,0.86902943,0,168436,0,0.993611336
5645,2002-AL-03,91169,181223,2002,Alabama,Mike Rogers,republican,FALSE,AL-03,0.50307632,87351,93734,0.482008354,0.517230153
6080,2004-AL-03,150411,245784,2004,Alabama,Mike Rogers,republican,FALSE,AL-03,0.611964164,95240,150411,0.387494711,0.611964164
6515,2006-AL-03,98257,165301,2006,Alabama,Mike Rogers,republican,FALSE,AL-03,0.594412617,63559,98257,0.384504631,0.594412617
6946,2008-AL-03,142708,264120,2008,Alabama,Mike Rogers,republican,FALSE,AL-03,0.540315008,121080,142708,0.458427987,0.540315008
7381,2010-AL-03,117736,198139,2010,Alabama,Mike Rogers,republican,FALSE,AL-03,0.594209116,80204,117736,0.404786539,0.594209116
7816,2012-AL-03,175306,273930,2012,Alabama,Mike Rogers,republican,FALSE,AL-03,0.639966415,98141,175306,0.358270361,0.639966415
8251,2014-AL-03,103558,156620,2014,Alabama,Mike Rogers,republican,FALSE,AL-03,0.661205465,52816,103558,0.337223854,0.661205465
8686,2016-AL-03,192164,287104,2016,Alabama,Mike Rogers,republican,FALSE,AL-03,0.669318435,94549,192164,0.329319689,0.669318435
9121,2018-AL-03,147770,231915,2018,Alabama,Mike Rogers,republican,FALSE,AL-03,0.637173102,83996,147770,0.362184421,0.637173102
4,1976-AL-04,141490,176022,1976,Alabama,Tom Bevill,democrat,FALSE,AL-04,0.803819977,141490,34531,0.803819977,0.196174342
439,1978-AL-04,87380,87381,1978,Alabama,Tom Bevill,democrat,FALSE,AL-04,0.999988556,87380,0,0.999988556,0
874,1980-AL-04,129365,132086,1980,Alabama,Tom Bevill,democrat,FALSE,AL-04,0.979399785,129365,0,0.979399785,0
1309,1982-AL-04,118595,118607,1982,Alabama,Tom Bevill,democrat,FALSE,AL-04,0.999898826,118595,0,0.999898826,0
1744,1984-AL-04,120106,120106,1984,Alabama,Tom Bevill,democrat,FALSE,AL-04,1,120106,0,1,0
2179,1986-AL-04,132881,171469,1986,Alabama,Tom Bevill,democrat,FALSE,AL-04,0.774956406,132881,38588,0.774956406,0.225043594
2614,1988-AL-04,131880,137149,1988,Alabama,Tom Bevill,democrat,FALSE,AL-04,0.961581929,131880,5264,0.961581929,0.038381614
3049,1990-AL-04,129872,130212,1990,Alabama,Tom Bevill,democrat,FALSE,AL-04,0.997388874,129872,0,0.997388874,0
3484,1992-AL-04,157907,230523,1992,Alabama,Tom Bevill,democrat,FALSE,AL-04,0.684994556,157907,72580,0.684994556,0.314849278
3919,1994-AL-04,119436,121262,1994,Alabama,Tom Bevill,democrat,FALSE,AL-04,0.984941696,119436,0,0.984941696,0
4354,1996-AL-04,102741,205917,1996,Alabama,Robert B. Aderholt,republican,FALSE,AL-04,0.498943749,99250,106459,0.481990316,0.516999568
4776,1998-AL-04,106297,188476,1998,Alabama,Robert B. Aderholt,republican,FALSE,AL-04,0.563981621,82065,106297,0.435413527,0.563981621
5211,2000-AL-04,140009,231106,2000,Alabama,Robert B. Aderholt,republican,FALSE,AL-04,0.605821571,86400,143528,0.373854422,0.62104835
5646,2002-AL-04,139705,161101,2002,Alabama,Robert B. Aderholt,republican,FALSE,AL-04,0.867188906,0,160563,0,0.99666048
6081,2004-AL-04,191110,255724,2004,Alabama,Robert B. Aderholt,republican,FALSE,AL-04,0.747329152,64278,191110,0.251356932,0.747329152
6516,2006-AL-04,128484,183072,2006,Alabama,Robert B. Aderholt,republican,FALSE,AL-04,0.701822234,54382,128484,0.297052526,0.701822234
6947,2008-AL-04,196741,263167,2008,Alabama,Robert B. Aderholt,republican,FALSE,AL-04,0.747589933,66077,196741,0.251083912,0.747589933
7382,2010-AL-04,167714,169721,2010,Alabama,Robert B. Aderholt,republican,FALSE,AL-04,0.98817471,0,167714,0,0.98817471
7817,2012-AL-04,199071,269118,2012,Alabama,Robert B. Aderholt,republican,FALSE,AL-04,0.739716407,69706,199071,0.259016491,0.739716407
8252,2014-AL-04,132831,134752,2014,Alabama,Robert B. Aderholt,republican,FALSE,AL-04,0.985744182,0,132831,0,0.985744182
8687,2016-AL-04,235925,239444,2016,Alabama,Robert B. Aderholt,republican,FALSE,AL-04,0.985303453,0,235925,0,0.985303453
9122,2018-AL-04,184255,230969,2018,Alabama,Robert B. Aderholt,republican,FALSE,AL-04,0.79774775,46492,184255,0.201291082,0.79774775
5,1976-AL-05,113553,113560,1976,Alabama,Ronnie G. Flippo,democrat,FALSE,AL-05,0.999938359,113553,0,0.999938359,0
440,1978-AL-05,68985,71236,1978,Alabama,Ronnie G. Flippo,democrat,FALSE,AL-05,0.968400809,68985,2250,0.968400809,0.031585154
875,1980-AL-05,117626,125356,1980,Alabama,Ronnie G. Flippo,democrat,FALSE,AL-05,0.93833562,117626,7341,0.93833562,0.058561218
1310,1982-AL-05,108807,134880,1982,Alabama,Ronnie G. Flippo,democrat,FALSE,AL-05,0.80669484,108807,26067,0.80669484,0.193260676
1745,1984-AL-05,140542,146575,1984,Alabama,Ronnie G. Flippo,democrat,FALSE,AL-05,0.958840184,140542,6033,0.958840184,0.041159816
2180,1986-AL-05,125406,158934,1986,Alabama,Ronnie G. Flippo,democrat,FALSE,AL-05,0.789044509,125406,33528,0.789044509,0.210955491
2615,1988-AL-05,120142,186623,1988,Alabama,Ronnie G. Flippo,democrat,FALSE,AL-05,0.643768453,120142,66480,0.643768453,0.356226189
3050,1990-AL-05,113047,168383,1990,Alabama,Bud Cramer,democrat,FALSE,AL-05,0.67136825,113047,55326,0.67136825,0.328572362
3485,1992-AL-05,160060,244133,1992,Alabama,Bud Cramer,democrat,FALSE,AL-05,0.655626237,160060,83957,0.655626237,0.343898613
3920,1994-AL-05,88693,175693,1994,Alabama,Bud Cramer,democrat,FALSE,AL-05,0.504818063,88693,86923,0.504818063,0.494743672
4355,1996-AL-05,114442,205547,1996,Alabama,Bud Cramer,democrat,FALSE,AL-05,0.556768038,114442,88583,0.556768038,0.430962262
4777,1998-AL-05,134819,193490,1998,Alabama,Bud Cramer,democrat,FALSE,AL-05,0.696775027,134819,58536,0.696775027,0.302527262
5212,2000-AL-05,186059,209514,2000,Alabama,Bud Cramer,democrat,FALSE,AL-05,0.888050441,186059,22110,0.888050441,0.105529941
5647,2002-AL-05,143029,195171,2002,Alabama,Bud Cramer,democrat,FALSE,AL-05,0.732839407,143029,51998,0.732839407,0.266422778
6082,2004-AL-05,200999,275459,2004,Alabama,Bud Cramer,democrat,FALSE,AL-05,0.72968754,200999,74145,0.72968754,0.269168914
6517,2006-AL-05,143015,145555,2006,Alabama,Bud Cramer,democrat,FALSE,AL-05,0.982549552,143015,0,0.982549552,0
6948,2008-AL-05,158324,307282,2008,Alabama,Parker Griffith,democrat,FALSE,AL-05,0.515240073,158324,147314,0.515240073,0.479409793
7383,2010-AL-05,131109,226490,2010,Alabama,Mo Brooks,republican,FALSE,AL-05,0.578873239,95192,131109,0.420292287,0.578873239
7818,2012-AL-05,189185,291293,2012,Alabama,Mo Brooks,republican,FALSE,AL-05,0.649466345,101772,189185,0.349380177,0.649466345
8253,2014-AL-05,115338,154974,2014,Alabama,Mo Brooks,republican,FALSE,AL-05,0.744240969,0,115338,0,0.744240969
8688,2016-AL-05,205647,308326,2016,Alabama,Mo Brooks,republican,FALSE,AL-05,0.666979107,102234,205647,0.331577616,0.666979107
9123,2018-AL-05,159063,260673,2018,Alabama,Mo Brooks,republican,FALSE,AL-05,0.610201287,0,159063,0,0.610201287
6,1976-AL-06,92113,162518,1976,Alabama,John H. Buchanan Jr.,republican,FALSE,AL-06,0.566786448,69384,92113,0.426931171,0.566786448
441,1978-AL-06,65700,106471,1978,Alabama,John H. Buchanan Jr.,republican,FALSE,AL-06,0.617069437,40771,65700,0.382930563,0.617069437
876,1980-AL-06,95019,187982,1980,Alabama,Albert Lee Smith Jr.,republican,FALSE,AL-06,0.505468609,87536,98237,0.465661606,0.522587269
1311,1982-AL-06,88029,165387,1982,Alabama,Ben Erdreich,democrat,FALSE,AL-06,0.532260698,88029,77358,0.532260698,0.467739302
1746,1984-AL-06,130973,219710,1984,Alabama,Ben Erdreich,democrat,FALSE,AL-06,0.59611761,131117,88593,0.596773019,0.403226981
2181,1986-AL-06,139608,191976,1986,Alabama,Ben Erdreich,democrat,FALSE,AL-06,0.727215902,140052,51924,0.729528691,0.270471309
2616,1988-AL-06,138920,209026,1988,Alabama,Ben Erdreich,democrat,FALSE,AL-06,0.664606317,138920,69880,0.664606317,0.334312478
3051,1990-AL-06,134412,144797,1990,Alabama,Ben Erdreich,democrat,FALSE,AL-06,0.928278901,134412,0,0.928278901,0
3486,1992-AL-06,146599,280139,1992,Alabama,Spencer Bachus,republican,FALSE,AL-06,0.523308072,126062,149435,0.449998037,0.533431618
3921,1994-AL-06,155047,196222,1994,Alabama,Spencer Bachus,republican,FALSE,AL-06,0.790161144,41030,155047,0.209099897,0.790161144
4356,1996-AL-06,180781,254859,1996,Alabama,Spencer Bachus,republican,FALSE,AL-06,0.70933732,69592,183074,0.27306079,0.718334452
4778,1998-AL-06,154761,215582,1998,Alabama,Spencer Bachus,republican,FALSE,AL-06,0.717875333,60657,154761,0.281363936,0.717875333
5213,2000-AL-06,212751,241917,2000,Alabama,Spencer Bachus,republican,FALSE,AL-06,0.879437989,0,240940,0,0.995961425
5648,2002-AL-06,178171,198346,2002,Alabama,Spencer Bachus,republican,FALSE,AL-06,0.898283807,0,197810,0,0.997297652
6083,2004-AL-06,264819,268043,2004,Alabama,Spencer Bachus,republican,FALSE,AL-06,0.987972079,0,264819,0,0.987972079
6518,2006-AL-06,163514,166300,2006,Alabama,Spencer Bachus,republican,FALSE,AL-06,0.983247144,0,163514,0,0.983247144
6949,2008-AL-06,280902,287237,2008,Alabama,Spencer Bachus,republican,FALSE,AL-06,0.977945042,0,280902,0,0.977945042
7384,2010-AL-06,205288,209364,2010,Alabama,Spencer Bachus,republican,FALSE,AL-06,0.980531514,0,205288,0,0.980531514
7819,2012-AL-06,219262,308102,2012,Alabama,Spencer Bachus,republican,FALSE,AL-06,0.711653933,88267,219262,0.286486294,0.711653933
8254,2014-AL-06,135945,178449,2014,Alabama,Gary Palmer,republican,FALSE,AL-06,0.7618143,42291,135945,0.236992082,0.7618143
8689,2016-AL-06,245313,329306,2016,Alabama,Gary Palmer,republican,FALSE,AL-06,0.744939357,83709,245313,0.254198223,0.744939357
9124,2018-AL-06,192542,278328,2018,Alabama,Gary Palmer,republican,FALSE,AL-06,0.69178092,85644,192542,0.30770889,0.69178092
7,1976-AL-07,110496,110501,1976,Alabama,Walter Flowers,democrat,FALSE,AL-07,0.999954752,110496,0,0.999954752,0
442,1978-AL-07,77742,82868,1978,Alabama,Richard C. Shelby,democrat,FALSE,AL-07,0.938142588,77742,5126,0.938142588,0.061857412
877,1980-AL-07,122505,168804,1980,Alabama,Richard C. Shelby,democrat,FALSE,AL-07,0.725723324,122505,45452,0.725723324,0.269259022
1312,1982-AL-07,124070,128139,1982,Alabama,Richard C. Shelby,democrat,FALSE,AL-07,0.968245421,124070,4058,0.968245421,0.031668735
1747,1984-AL-07,135834,140332,1984,Alabama,Richard C. Shelby,democrat,FALSE,AL-07,0.967947439,135834,4498,0.967947439,0.032052561
2182,1986-AL-07,108126,180903,1986,Alabama,Claude Harris,democrat,FALSE,AL-07,0.597701531,108126,72777,0.597701531,0.402298469
2617,1988-AL-07,136074,200966,1988,Alabama,Claude Harris,democrat,FALSE,AL-07,0.677099609,136074,64793,0.677099609,0.32240777
3052,1990-AL-07,127490,180794,1990,Alabama,Claude Harris,democrat,FALSE,AL-07,0.705167207,127490,53258,0.705167207,0.29457836
3487,1992-AL-07,144320,207773,1992,Alabama,Earl F. Hilliard,democrat,FALSE,AL-07,0.694604207,145485,38221,0.700211288,0.183955567
3922,1994-AL-07,116150,151117,1994,Alabama,Earl F. Hilliard,democrat,FALSE,AL-07,0.768609753,116150,34814,0.768609753,0.230377787
4357,1996-AL-07,136651,192113,1996,Alabama,Earl F. Hilliard,democrat,FALSE,AL-07,0.711305326,136651,55299,0.711305326,0.287846216
4779,1998-AL-07,136431,139181,1998,Alabama,Earl F. Hilliard,democrat,FALSE,AL-07,0.980241556,136431,0,0.980241556,0
5214,2000-AL-07,148243,198633,2000,Alabama,Earl F. Hilliard,democrat,FALSE,AL-07,0.74631607,148243,49963,0.74631607,0.251534237
5649,2002-AL-07,153735,166309,2002,Alabama,Artur Davis,democrat,FALSE,AL-07,0.924393749,153735,12100,0.924393749,0.072756135
6084,2004-AL-07,183408,244638,2004,Alabama,Artur Davis,democrat,FALSE,AL-07,0.749711819,183408,61019,0.749711819,0.249425682
6519,2006-AL-07,133870,135164,2006,Alabama,Artur Davis,democrat,FALSE,AL-07,0.990426445,133870,0,0.990426445,0
6950,2008-AL-07,228518,231701,2008,Alabama,Artur Davis,democrat,FALSE,AL-07,0.986262468,228518,0,0.986262468,0
7385,2010-AL-07,136696,188724,2010,Alabama,Terri A. Sewell,democrat,FALSE,AL-07,0.724316992,136696,51890,0.724316992,0.274951781
7820,2012-AL-07,232520,306558,2012,Alabama,Terri A. Sewell,democrat,FALSE,AL-07,0.758486159,232520,73835,0.758486159,0.24085165
8255,2014-AL-07,133687,135899,2014,Alabama,Terri A. Sewell,democrat,FALSE,AL-07,0.983723206,133687,0,0.983723206,0
8690,2016-AL-07,229330,233028,2016,Alabama,Terri A. Sewell,democrat,FALSE,AL-07,0.984130662,229330,0,0.984130662,0
9125,2018-AL-07,185010,189163,2018,Alabama,Terri A. Sewell,democrat,FALSE,AL-07,0.978045389,185010,0,0.978045389,0
8,1976-AR-01,116217,168782,1976,Arkansas,Bill Alexander,democrat,FALSE,AR-01,0.688562761,116217,52565,0.688562761,0.311437239
443,1978-AR-01,1,1,1978,Arkansas,Bill Alexander,democrat,FALSE,AR-01,1,1,0,1,0
878,1980-AR-01,1,1,1980,Arkansas,Bill Alexander,democrat,FALSE,AR-01,1,1,0,1,0
1313,1982-AR-01,124208,191635,1982,Arkansas,Bill Alexander,democrat,FALSE,AR-01,0.648148825,124208,67427,0.648148825,0.351851175
1748,1984-AR-01,121047,124528,1984,Arkansas,Bill Alexander,democrat,FALSE,AR-01,0.972046447,121047,0,0.972046447,0
2183,1986-AR-01,105782,164719,1986,Arkansas,Bill Alexander,democrat,FALSE,AR-01,0.642196711,105782,58937,0.642196711,0.357803289
2618,1988-AR-01,1,1,1988,Arkansas,Bill Alexander,democrat,FALSE,AR-01,1,1,0,1,0
3053,1990-AR-01,101026,157097,1990,Arkansas,Bill Alexander,democrat,FALSE,AR-01,0.64308039,101026,56071,0.64308039,0.35691961
3488,1992-AR-01,149558,214176,1992,Arkansas,Blanche M. Lambert,democrat,FALSE,AR-01,0.69829486,149558,64618,0.69829486,0.30170514
3923,1994-AR-01,95290,178437,1994,Arkansas,Blanche M. Lambert,democrat,FALSE,AR-01,0.534026015,95290,83147,0.534026015,0.465973985
4358,1996-AR-01,105280,199450,1996,Arkansas,Marion Berry,democrat,FALSE,AR-01,0.527851592,105280,88436,0.527851592,0.443399348
4780,1998-AR-01,1,1,1998,Arkansas,Marion Berry,democrat,FALSE,AR-01,1,1,0,1,0
5215,2000-AR-01,120266,199956,2000,Arkansas,Marion Berry,democrat,FALSE,AR-01,0.601462322,120266,79437,0.601462322,0.3972724
5650,2002-AR-01,129701,194058,2002,Arkansas,Marion Berry,democrat,FALSE,AR-01,0.668362036,129701,64357,0.668362036,0.331637964
6085,2004-AR-01,162388,243944,2004,Arkansas,Marion Berry,democrat,FALSE,AR-01,0.665677369,162388,81556,0.665677369,0.334322631
6520,2006-AR-01,127577,184188,2006,Arkansas,Marion Berry,democrat,FALSE,AR-01,0.692645558,127577,56611,0.692645558,0.307354442
6951,2008-AR-01,1,1,2008,Arkansas,Marion Berry,democrat,FALSE,AR-01,1,1,0,1,0
7386,2010-AR-01,93224,180016,2010,Arkansas,Rick Crawford,republican,FALSE,AR-01,0.517865079,86587,93224,0.480996134,0.517865079
7821,2012-AR-01,138800,246843,2012,Arkansas,Rick Crawford,republican,FALSE,AR-01,0.562300734,101616,145227,0.411662474,0.588337526
8256,2014-AR-01,124139,196256,2014,Arkansas,Rick Crawford,republican,FALSE,AR-01,0.632536075,63555,132701,0.323837233,0.676162767
8691,2016-AR-01,183866,241047,2016,Arkansas,Rick Crawford,republican,FALSE,AR-01,0.762780703,0,241047,0,1
9126,2018-AR-01,138757,201245,2018,Arkansas,Rick Crawford,republican,FALSE,AR-01,0.689492907,57907,143338,0.287743795,0.712256205
9,1976-AR-02,144780,167607,1976,Arkansas,Jim Guy Tucker,democrat,FALSE,AR-02,0.863806404,144780,22819,0.863806404,0.136145865
444,1978-AR-02,65285,127425,1978,Arkansas,Ed Bethune,republican,FALSE,AR-02,0.512340593,62140,65285,0.487659407,0.512340593
879,1980-AR-02,159148,201655,1980,Arkansas,Ed Bethune,republican,FALSE,AR-02,0.789209293,42278,159148,0.209655104,0.789209293
