,Unnamed: 0,yr_district_id,winner_votes,totalvotes,year,state,winner,winner_party,writein,district_id,winner_voteshare,dem_votes,dem_candidate,rep_votes,rep_candidate,dem_voteshare,rep_voteshare,L1_winner,L2_winner,L3_winner,L4_winner,L5_winner,dL1_winner,L6_winner,L7_winner,L8_winner,L9_winner,L10_winner,incumbent_in_race,incumbent_party,dL2_winner,dL3_winner,dL4_winner,dL5_winner,dL6_winner,dL7_winner,dL8_winner,dL9_winner,dL10_winner,incumbent_L5_races,incumbent_L4_races,incumbent_L3_races,incumbent_L2_races,incumbent_L10_races,rep_wins,dem_wins,rep_L5_wins,rep_L10_wins,dem_L10_wins,dem_L5_wins,rep_L4_wins,rep_L3_wins,rep_L2_wins,rep_L1_wins,dem_L4_wins,dem_L3_wins,dem_L2_wins,dem_L1_wins,rep_L5_voteshare,rep_L10_voteshare,rep_L4_voteshare,rep_L3_voteshare,rep_L2_voteshare,rep_L1_voteshare,dem_L10_voteshare,dem_L5_voteshare,dem_L4_voteshare,dem_L3_voteshare,dem_L2_voteshare,dem_L1_voteshare,target
64,8685,2016-AL-02,134886,276584,2016,Alabama,MarthaRoby,republican,FALSE,AL-02,0.487685477,112089,Nathan Mathis,134886,Martha Roby,0.405262054,0.487685477,MarthaRoby,MarthaRoby,MarthaRoby,BobbyBright,TerryEverett,1,TerryEverett,TerryEverett,TerryEverett,TerryEverett,TerryEverett,1,republican,1,1,0,0,0,0,0,0,0,3,3,3,2,3,1,0,4,9,1,1,4,3,2,1,0,0,0,0,0.560586965,0.630846799,0.576707108,0.599033027,0.580555013,0.67342455,0.356663768,0.416840645,0.395467113,0.364654266,0.365451357,0.325640659,0
65,9120,2018-AL-02,138879,226230,2018,Alabama,MarthaRoby,republican,FALSE,AL-02,0.6138841,86931,Tabitha Isner,138879,Martha Roby,0.384259382,0.6138841,MarthaRoby,MarthaRoby,MarthaRoby,MarthaRoby,BobbyBright,1,TerryEverett,TerryEverett,TerryEverett,TerryEverett,TerryEverett,1,republican,1,1,1,0,0,0,0,0,0,4,4,3,2,4,1,0,5,9,1,0,4,3,2,1,0,0,0,0,0.584142506,0.622941861,0.602745795,0.591664709,0.550784788,0.487685477,0.364438414,0.393225567,0.369555545,0.371720698,0.394760718,0.405262054,0
84,7816,2012-AL-03,175306,273930,2012,Alabama,MikeRogers,republican,FALSE,AL-03,0.639966415,98141,John Andrew Harris,175306,Mike Rogers,0.358270361,0.639966415,MikeRogers,MikeRogers,MikeRogers,MikeRogers,MikeRogers,1,BobRiley,BobRiley,BobRiley,GlenBrowder,GlenBrowder,1,republican,1,1,1,1,0,0,0,0,0,5,4,3,2,5,1,0,5,9,1,0,4,3,2,1,0,0,0,0,0.596173464,0.595057834,0.592225789,0.591496846,0.617087766,0.594209116,0.400322069,0.398696846,0.40149738,0.407161629,0.38152845,0.404786539,0
85,8251,2014-AL-03,103558,156620,2014,Alabama,MikeRogers,republican,FALSE,AL-03,0.661205465,52816,Jesse T. Smith,103558,Mike Rogers,0.337223854,0.661205465,MikeRogers,MikeRogers,MikeRogers,MikeRogers,MikeRogers,1,MikeRogers,BobRiley,BobRiley,BobRiley,GlenBrowder,1,republican,1,1,1,1,1,0,0,0,0,5,4,3,2,6,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.606021724,0.624793393,0.608924001,0.631793665,0.65058594,0.639966415,0.37047276,0.388642674,0.389677185,0.366760251,0.347747107,0.358270361,0
86,8686,2016-AL-03,192164,287104,2016,Alabama,MikeRogers,republican,FALSE,AL-03,0.669318435,94549,Jesse Smith,192164,Mike Rogers,0.329319689,0.669318435,MikeRogers,MikeRogers,MikeRogers,MikeRogers,MikeRogers,1,MikeRogers,MikeRogers,BobRiley,BobRiley,BobRiley,1,republican,1,1,1,1,1,1,0,0,0,5,4,3,2,7,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.621002888,0.640283277,0.641174858,0.656830105,0.66526195,0.661205465,0.356069984,0.377605686,0.357400111,0.341604635,0.333271771,0.337223854,0
87,9121,2018-AL-03,147770,231915,2018,Alabama,MikeRogers,republican,FALSE,AL-03,0.637173102,83996,Mallory Hagan,147770,Mike Rogers,0.362184421,0.637173102,MikeRogers,MikeRogers,MikeRogers,MikeRogers,MikeRogers,1,MikeRogers,MikeRogers,MikeRogers,BobRiley,BobRiley,1,republican,1,1,1,1,1,1,1,0,0,5,4,3,2,8,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.640374507,0.645940581,0.651915854,0.655899001,0.653245769,0.669318435,0.350422055,0.358356973,0.346749581,0.342909321,0.345752055,0.329319689,0
106,7817,2012-AL-04,199071,269118,2012,Alabama,RobertBAderholt,republican,FALSE,AL-04,0.739716407,69706,Daniel H. Boman,199071,Robert B. Aderholt,0.259016491,0.739716407,RobertBAderholt,RobertBAderholt,RobertBAderholt,RobertBAderholt,RobertBAderholt,1,RobertBAderholt,RobertBAderholt,RobertBAderholt,TomBevill,TomBevill,1,republican,1,1,1,1,1,1,1,0,0,5,4,3,2,8,1,0,5,9,1,0,4,3,2,1,0,0,0,0,0.784926487,0.662332246,0.794325821,0.82516035,0.863945559,0.98817471,0.333470982,0.211701972,0.201788232,0.170033468,0.129508245,0,0
107,8252,2014-AL-04,132831,134752,2014,Alabama,RobertBAderholt,republican,FALSE,AL-04,0.985744182,0,0,132831,Robert B. Aderholt,0,0.985744182,RobertBAderholt,RobertBAderholt,RobertBAderholt,RobertBAderholt,RobertBAderholt,1,RobertBAderholt,RobertBAderholt,RobertBAderholt,RobertBAderholt,TomBevill,1,republican,1,1,1,1,1,1,1,1,0,5,4,3,2,9,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.832609493,0.760906664,0.865306308,0.9045451,0.862730294,0.739716407,0.234976813,0.161430586,0.127525101,0.08633883,0.129508245,0.259016491,0
108,8687,2016-AL-04,235925,239444,2016,Alabama,RobertBAderholt,republican,FALSE,AL-04,0.985303453,0,0,235925,Robert B. Aderholt,0,0.985303453,RobertBAderholt,RobertBAderholt,RobertBAderholt,RobertBAderholt,RobertBAderholt,1,RobertBAderholt,RobertBAderholt,RobertBAderholt,RobertBAderholt,RobertBAderholt,1,republican,1,1,1,1,1,1,1,1,1,5,4,3,2,10,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.889305737,0.807737052,0.924734688,0.903588014,0.985523818,0.985744182,0.186777781,0.102020081,0.064754123,0.08633883,0,0,0
109,9122,2018-AL-04,184255,230969,2018,Alabama,RobertBAderholt,republican,FALSE,AL-04,0.79774775,46492,Lee Auman,184255,Robert Aderholt,0.201291082,0.79774775,RobertBAderholt,RobertBAderholt,RobertBAderholt,RobertBAderholt,RobertBAderholt,1,RobertBAderholt,RobertBAderholt,RobertBAderholt,RobertBAderholt,RobertBAderholt,1,republican,1,1,1,1,1,1,1,1,1,5,4,3,2,10,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.8993373,0.831113665,0.877127948,0.922931795,0.891525602,0.985303453,0.163365537,0.092061515,0.115076893,0.067097027,0.100645541,0,0
