Unnamed: 0,yr_district_id,winner_votes,totalvotes,year,state,winner,winner_party,writein,district_id,winner_voteshare,total_dem_votes,total_rep_votes,total_dem_vote_share,total_rep_vote_share,L1_winner,L2_winner,L3_winner,L4_winner,L5_winner,dL1_winner,dL2_winner,dL3_winner,dL4_winner,dL5_winner,incumbent_party,incumbent_L5_races,incumbent_L4_races,incumbent_L3_races,incumbent_L2_races,rep_L1_wins,rep_L5_wins,rep_L4_wins,rep_L3_wins,rep_L2_wins,dem_L1_wins,dem_L5_wins,dem_L4_wins,dem_L3_wins,dem_L2_wins,rep_L1_voteshare,rep_L5_voteshare,rep_L4_voteshare,rep_L3_voteshare,rep_L2_voteshare,dem_L1_voteshare,dem_L5_voteshare,dem_L4_voteshare,dem_L3_voteshare,dem_L2_voteshare,target,top_dem_votes,top_dem_candidate,top_rep_votes,top_rep_candidate,dem_incumbent_in_race,rep_incumbent_in_race,flipped,dmargin_45_55
9120,2018-AL-02,138879,226230,2018,Alabama,MarthaRoby,republican,False,AL-02,0.6138840999999999,86931,138879,0.38425938200000004,0.6138840999999999,MarthaRoby,MarthaRoby,MarthaRoby,MarthaRoby,BobbyBright,1,1,1,1,0,republican,4,4,3,2,1,4,4,3,2,0,1,0,0,0,0.48768547700000003,0.560586965,0.576707108,0.599033027,0.580555013,0.405262054,0.416840645,0.395467113,0.364654266,0.36545135700000003,0,86931.0,TabithaIsner,138879.0,MarthaRoby,0,1,0,0
7816,2012-AL-03,175306,273930,2012,Alabama,MikeRogers,republican,False,AL-03,0.639966415,98141,175306,0.35827036100000004,0.639966415,MikeRogers,MikeRogers,MikeRogers,MikeRogers,MikeRogers,1,1,1,1,1,republican,5,4,3,2,1,5,4,3,2,0,0,0,0,0,0.594209116,0.5716262120000001,0.585225226,0.576312247,0.5672620620000001,0.404786539,0.423444444,0.40880346700000003,0.415906386,0.43160726299999996,0,98141.0,JohnAndrewHarris,175306.0,MikeRogers,0,1,0,0
8251,2014-AL-03,103558,156620,2014,Alabama,MikeRogers,republican,False,AL-03,0.661205465,52816,103558,0.337223854,0.661205465,MikeRogers,MikeRogers,MikeRogers,MikeRogers,MikeRogers,1,1,1,1,1,republican,5,4,3,2,1,5,4,3,2,0,0,0,0,0,0.639966415,0.5961734639999999,0.592225789,0.591496846,0.617087766,0.35827036100000004,0.398696846,0.40149738,0.40716162899999997,0.38152845,0,52816.0,JesseSmith,103558.0,MikeRogers,0,1,0,0
8686,2016-AL-03,192164,287104,2016,Alabama,MikeRogers,republican,False,AL-03,0.669318435,94549,192164,0.32931968899999997,0.669318435,MikeRogers,MikeRogers,MikeRogers,MikeRogers,MikeRogers,1,1,1,1,1,republican,5,4,3,2,1,5,4,3,2,0,0,0,0,0,0.661205465,0.606021724,0.608924001,0.631793665,0.65058594,0.337223854,0.38864267399999997,0.389677185,0.36676025100000004,0.34774710700000006,0,94549.0,JesseSmith,192164.0,MikeRogers,0,1,0,0
9121,2018-AL-03,147770,231915,2018,Alabama,MikeRogers,republican,False,AL-03,0.637173102,83996,147770,0.36218442100000003,0.637173102,MikeRogers,MikeRogers,MikeRogers,MikeRogers,MikeRogers,1,1,1,1,1,republican,5,4,3,2,1,5,4,3,2,0,0,0,0,0,0.669318435,0.6210028879999999,0.641174858,0.656830105,0.66526195,0.32931968899999997,0.377605686,0.357400111,0.341604635,0.333271771,0,83996.0,MalloryHagan,147770.0,MikeRogers,0,1,0,0
7817,2012-AL-04,199071,269118,2012,Alabama,RobertBAderholt,republican,False,AL-04,0.7397164070000001,69706,199071,0.259016491,0.7397164070000001,RobertBAderholt,RobertBAderholt,RobertBAderholt,RobertBAderholt,RobertBAderholt,1,1,1,1,1,republican,5,4,3,2,1,5,4,3,2,0,0,0,0,0,0.98817471,0.836315302,0.796229007,0.8125289590000001,0.867882322,0.0,0.159898674,0.199873343,0.18271214600000002,0.125541956,0,69706.0,DanielHBoman,199071.0,RobertBAderholt,0,1,0,0
8252,2014-AL-04,132831,134752,2014,Alabama,RobertBAderholt,republican,False,AL-04,0.985744182,0,132831,0.0,0.985744182,RobertBAderholt,RobertBAderholt,RobertBAderholt,RobertBAderholt,RobertBAderholt,1,1,1,1,1,republican,5,4,3,2,1,5,4,3,2,0,0,0,0,0,0.7397164070000001,0.784926487,0.7943258209999999,0.82516035,0.863945559,0.259016491,0.211701972,0.20178823199999998,0.17003346800000002,0.129508245,0,,None,132831.0,RobertBAderholt,0,1,0,0
8687,2016-AL-04,235925,239444,2016,Alabama,RobertBAderholt,republican,False,AL-04,0.985303453,0,235925,0.0,0.985303453,RobertBAderholt,RobertBAderholt,RobertBAderholt,RobertBAderholt,RobertBAderholt,1,1,1,1,1,republican,5,4,3,2,1,5,4,3,2,0,0,0,0,0,0.985744182,0.832609493,0.865306308,0.9045450999999999,0.862730294,0.0,0.161430586,0.127525101,0.08633883,0.129508245,0,,None,235925.0,RobertBAderholt,0,1,0,0
9122,2018-AL-04,184255,230969,2018,Alabama,RobertBAderholt,republican,False,AL-04,0.79774775,46492,184255,0.20129108199999998,0.79774775,RobertBAderholt,RobertBAderholt,RobertBAderholt,RobertBAderholt,RobertBAderholt,1,1,1,1,1,republican,5,4,3,2,1,5,4,3,2,0,0,0,0,0,0.985303453,0.889305737,0.9247346879999999,0.9035880140000001,0.985523818,0.0,0.102020081,0.064754123,0.08633883,0.0,0,46492.0,LeeAuman,184255.0,RobertBAderholt,0,1,0,0
7818,2012-AL-05,189185,291293,2012,Alabama,MoBrooks,republican,False,AL-05,0.649466345,101772,189185,0.349380177,0.649466345,MoBrooks,ParkerGriffith,BudCramer,BudCramer,BudCramer,1,0,0,0,0,republican,1,1,1,1,1,1,1,1,1,0,4,3,2,1,0.578873239,0.318774945,0.331862986,0.352761011,0.529141516,0.42029228700000004,0.676121772,0.661942363,0.639360637,0.46776618,0,101772.0,CharlieLHolley,189185.0,MoBrooks,0,1,0,0
