,B01001_002E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B01003_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B03003_002E,B03003_003E,B05002_002E,B05002_003E,B05002_004E,B05002_009E,B05002_013E,B06009_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B07001_017E,B07001_033E,B07001_049E,B07001_065E,B07001_081E,B08101_001E,B08101_025E,B08101_033E,B08101_049E,B14001_002E,B14001_008E,B14001_009E,B15002_001E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,B17001_002E,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B19013_001E,B19081_001E,B19081_002E,B19081_003E,B19081_004E,B19081_005E,B19081_006E,B21001_002E,B21001_003E,B23025_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E,B24020_001E,B24020_112E,B24020_131E,B24020_263E,B24020_282E,B25001_001E,B25002_002E,B25002_003E,B25003_001E,B25003_002E,B25003_003E,B25027_001E,B25027_002E,B25027_010E,B25063_001E,B25064_001E,B25075_001E,B25075_002E,B25075_003E,B25075_004E,B25075_005E,B25075_006E,B25075_007E,B25075_008E,B25075_009E,B25075_010E,B25075_011E,B25075_012E,B25075_013E,B25075_014E,B25075_015E,B25075_016E,B25075_017E,B25075_018E,B25075_019E,B25075_020E,B25075_021E,B25075_022E,B25075_023E,B25075_024E,B25075_025E,B25088_001E,year
HI-02,357420,24501,22133,14464,8120,5864,6459,16546,27510,21083,20737,24349,23856,26268,24966,10446,13325,7200,7715,11280,6382,4579,5847,349773,21362,23821,15303,8144,4203,4366,12645,24614,22004,20661,21652,24332,25275,23777,9990,13280,7249,8088,11861,8701,7482,7984,707193,227107,11455,2941,178820,78052,12107,196711,632835,74358,616262,395550,207169,13543,90931,472493,41683,143841,164045,80276,42648,592675,59264,4863,31186,9791,318587,8626,12689,17006,172510,36287,5918,472493,37261,12544,3803,2911,43015,18036,3567,1787,100241,225033,15366,9803,8288,10208,9740,11713,8745,10359,11071,18654,25130,31486,20664,12939,12047,8820,58844,13045,36501,59173,89159,176401,292920,56276,464935,557407,359330,341701,309521,32180,17629,198077,209367,24660,15811,1982,3380,278130,225033,53097,225033,135031,90002,135031,92508,42523,90002,1273,135031,78,88,236,476,111,345,208,278,1009,299,438,776,1404,3367,2389,3682,2545,9986,8831,23804,19581,33078,11598,10424,1505,2011
ID-01,426650,33308,33479,19190,12928,5547,4492,16833,25674,28205,26677,28180,26865,28578,28527,9110,14568,7892,10343,15322,9878,6240,5105,424753,32983,30056,16702,9654,5785,6302,12765,25875,27328,25402,28503,26976,29682,29594,11203,13557,7608,13521,13275,10931,9446,7389,851403,794796,3216,11851,10715,873,10682,19270,766741,84662,808639,351657,447433,9549,42764,551454,61406,159164,195972,97135,37777,703802,75135,24728,32599,1413,347979,997,9555,25024,231454,45495,8122,551454,47862,15542,4394,2741,49273,12046,2016,1038,128920,313546,23382,17002,22182,18184,21111,19511,18430,16907,16904,27634,35297,34869,21460,8766,7177,4730,45020,11446,28034,44940,67377,131332,213347,69945,555268,648724,401277,400730,354662,46068,547,247447,226760,25341,22775,732,5790,364664,313546,51118,313546,225137,88409,225137,156017,69120,88409,737,225137,3462,3291,2283,1940,1392,1113,1032,2610,2886,3519,6885,11465,9279,25109,21538,30084,18831,27896,18050,17601,6114,5340,1488,1929,980,2011
ID-02,368264,29125,28115,15215,11344,7587,5498,16763,27722,25121,21449,21542,22921,23837,21967,8631,10152,5617,7797,10036,7039,4778,4238,365318,27395,27626,15973,14146,7284,6059,15885,23604,22847,23257,20090,23304,22595,21805,7381,11445,5532,8534,11474,8345,6682,7264,733582,670688,5176,8660,10198,414,18256,20190,636504,97078,680960,385740,288574,6646,52622,447006,52293,115869,161661,77511,39672,580728,81070,27501,27737,4924,324921,3641,13729,16447,220886,59444,7673,447006,38535,14386,4780,3659,38976,13371,1427,2049,126107,266647,20792,18097,18890,18142,19560,17036,14622,14242,13037,21194,26409,28479,17296,7600,6289,4962,42027,10917,25790,42185,65997,133847,219597,51437,478418,551957,361720,360003,330254,29749,1717,190237,208118,27843,22173,1796,5061,309730,266647,43083,266647,173679,92968,173679,112378,61301,92968,661,173679,3251,1893,1687,1873,1134,1070,729,1804,2978,2653,4272,6795,8528,23621,21003,21685,15589,20050,11404,11150,3267,3871,1632,1740,844,2011
IL-01,269301,17112,21210,13759,11849,4284,5148,13391,15951,16732,14613,17474,17665,19278,18974,4942,6490,3596,5715,6448,5317,5215,3105,314515,19344,18127,12737,9648,4993,5023,13983,21137,20202,20474,21411,19298,23830,19553,7471,10891,4883,7001,10502,8172,8831,7386,583816,179948,356304,1837,13005,0,24513,8209,527746,56070,540439,440546,97288,2605,43377,372557,57404,107831,123919,52833,30570,501077,57508,5213,9901,2598,215311,43711,7423,6662,172595,40726,13801,372557,21234,7147,2247,1779,31599,15886,1705,1806,137140,209458,27285,13972,16168,13242,11725,13249,10036,8932,8892,16189,21099,20056,13982,6697,4931,3003,39384,7410,22217,39737,64717,127852,197223,28163,412502,459428,277730,277519,221950,55569,211,181698,145385,10957,15023,497,4533,253673,209458,44215,209458,110956,98502,110956,75748,35208,98502,866,110956,762,697,584,435,850,1012,494,1337,1734,2901,2913,3750,4256,13615,10001,16982,10561,15460,10012,8285,1329,1589,924,473,1245,2011
IL-02,283732,19525,28037,14940,9407,4580,3180,10685,17890,16435,14422,19114,19602,21140,16441,5795,9409,3442,7696,7611,6117,3897,3778,325109,21807,21733,15329,8570,3485,3358,11628,20338,20448,18888,22243,23819,22619,22590,8636,10888,7249,7722,11424,8771,6579,8326,608841,139679,422404,630,4368,46,28582,13132,527442,81399,566769,448128,115259,3382,42072,393329,59430,114740,136156,49239,33764,536706,52296,3599,8848,1269,220600,34305,4173,7129,180221,33353,11246,393329,18492,8292,2395,1267,30747,17460,2421,1929,129342,216793,23234,13554,14347,14951,11831,11226,10961,9747,11149,20805,23736,21560,12024,6684,6760,4224,44141,8589,25000,43809,66047,135159,216770,38645,409405,468574,282661,282489,226448,56041,172,185913,154818,11473,19901,471,4884,256372,216793,39579,216793,137148,79645,137148,97339,39809,79645,891,137148,1125,1895,1856,1503,838,816,437,2667,3324,4148,6920,8450,8917,21183,17083,19240,10835,12954,5534,4179,1219,843,646,536,1212,2011
IL-03,327175,23437,25640,14855,10029,3318,3698,12124,24716,24446,23052,20939,22167,24390,21707,6478,10081,4663,6584,6357,6442,5048,4401,338932,21668,24425,13806,8454,4749,5389,12411,21347,20233,22333,23305,23168,25088,22205,8106,8694,5262,6877,10429,9496,7931,10537,666107,482083,40255,1537,23298,0,103248,15686,429008,237099,515174,449548,57385,8241,150933,436482,81670,132809,117873,65603,38527,598240,50021,3310,4135,2750,285962,30623,9067,8238,184893,38088,8935,436482,30844,11599,4070,2310,34759,16265,2882,1401,90914,226937,13086,10325,12993,12943,12876,14025,9664,12234,9215,18785,24949,32201,18385,9050,9619,6587,52730,13483,32070,52854,80391,160601,270677,31691,464847,515834,340185,340069,295828,44241,116,175649,200897,16722,29933,414,7588,245943,226937,19006,226937,165121,61816,165121,109026,56095,61816,873,165121,1151,400,1219,923,366,728,240,583,1082,1136,1824,3506,3843,12953,12043,21162,16557,28796,22203,18052,6023,7004,1682,1645,1340,2011
IL-04,311932,22942,21271,12893,7099,5421,4408,18758,34453,34230,30255,23933,18668,15153,11199,3543,6243,2481,2480,4129,3474,2016,1148,303036,22186,23773,14549,9113,5919,4803,15120,31426,30878,26801,21699,15361,12328,12846,4481,5937,2550,3618,4641,4590,3128,2277,614968,365636,26109,1924,15126,0,193385,12788,166244,448724,390087,301005,67305,21777,224881,375966,119259,104597,66396,59330,26384,517949,72317,2968,8642,3099,276301,64179,11972,8639,170518,29653,8638,375966,29741,8511,3516,698,29589,10091,2754,814,156770,189105,16577,11743,12287,14292,14916,13516,10586,8828,9882,14351,17367,16909,9913,6413,6728,4797,40280,10660,25389,40488,64622,145204,243298,8627,437980,465069,328233,328233,283167,45066,0,136836,191786,14473,33655,469,9910,216948,189105,27843,189105,75170,113935,75170,59493,15677,113935,855,75170,57,219,242,195,0,244,103,260,508,393,1169,1267,1923,6285,4805,10161,5319,10526,8324,11552,4920,3874,1876,948,1737,2011
IL-05,328422,17744,18488,8567,6548,4576,5503,15227,40508,31379,25142,24700,23601,19247,19428,6436,10450,4589,5075,8179,5566,3742,3232,324838,17065,15883,8097,5487,3949,3829,17170,38820,32622,21557,21618,19136,22285,20140,6674,8722,6123,5751,8878,6978,4834,7320,653260,484057,15871,1389,41629,96,93184,17034,460327,192933,474506,340643,118256,15607,178754,462732,70922,104924,97425,117430,72031,542305,71102,8506,17520,5439,344606,90739,13745,14209,154435,38872,18633,462732,56177,21104,10557,3386,61253,26853,7298,2833,81093,256658,19587,13722,12880,15440,11741,11403,13613,11222,10570,19520,24716,28622,19096,10978,14849,18699,53847,11621,31328,53963,87544,231182,445853,22881,502050,536456,388113,388023,350140,37883,90,148343,244757,11569,21370,433,5286,283077,256658,26419,256658,131755,124903,131755,91953,39802,124903,958,131755,261,204,369,830,300,198,345,697,387,874,549,612,857,4763,4277,10031,7503,21551,17940,25065,13145,12278,4183,4536,1718,2011
IL-06,326890,22905,24035,12444,10194,3848,3008,12053,24380,25833,21985,20625,25533,27039,22058,7727,10692,4316,8127,6194,5455,4297,3332,334035,24865,19903,13132,7460,3581,3625,11585,23041,23464,20438,22866,24436,26959,24915,7808,10999,5322,7286,9201,7804,6268,8594,660925,510781,28454,994,69807,96,37754,13039,543730,117195,516125,417343,91744,7038,144800,446994,45876,102604,124601,117827,56086,573207,47149,15358,12069,4358,328636,16092,6591,12711,174500,33033,9562,446994,57939,20100,5955,1994,59888,21591,4829,1617,58384,237968,10449,7168,9117,10805,10123,10057,10002,11866,8523,18210,26729,36392,21842,15577,18014,13094,66495,16786,41525,66960,99251,195996,317487,28236,473916,519295,370276,370080,335878,34202,196,149019,224865,13543,27480,612,5967,254785,237968,16817,237968,173743,64225,173743,126846,46897,64225,986,173743,478,257,244,891,471,228,90,541,871,1177,1186,2060,2012,10668,6164,13351,14836,33120,25870,30208,15218,10122,1805,1875,1678,2011
IL-07,292509,18950,17945,12515,9588,4459,4777,14592,31227,28711,18455,18901,16465,18555,14902,6265,8102,5010,6861,7228,4094,3083,2348,336302,18768,16779,11841,10835,4025,7169,18121,36890,31352,22206,19827,22358,21832,17749,7497,10054,5606,7750,9157,8482,5176,4915,628811,223433,329562,923,36487,224,28197,9985,569711,59100,562759,406706,149099,6954,66052,421058,58072,89740,91934,102468,78844,490068,93282,10879,20219,6560,279904,73533,35615,14104,169318,41485,18328,421058,44502,17084,14476,4751,57966,28342,9114,5077,158480,259359,37710,14398,14031,11990,12270,11048,9566,9820,8924,16217,21659,29634,18352,9610,15196,18934,49955,6681,24587,49884,86250,222297,416905,21590,472990,510590,334241,334197,285209,48988,44,176349,207941,4284,12685,438,4146,312699,259359,53340,259359,105821,153538,105821,78559,27262,153538,1029,105821,104,257,178,309,211,410,65,427,422,919,1331,1423,1692,6826,4801,9213,7095,13850,12106,15825,7905,11046,5426,3980,1810,2011
IL-08,363483,26262,30454,18366,8895,5060,3263,12429,22735,25175,22288,26954,27990,32209,24777,7387,10161,6101,7479,8445,4997,4085,3057,373720,23716,28051,18519,8666,4117,3848,10833,23909,24930,25305,27288,32475,30048,23216,8177,13560,5059,8541,9190,5949,6939,7675,737203,580851,36590,915,63315,290,39194,16048,609384,127819,596932,467664,120509,8759,140271,486101,51002,122837,139896,113019,59347,651605,44437,16504,11338,4121,359625,9829,3108,15849,208561,37235,10563,486101,53391,22640,5140,2742,59628,23406,3595,1824,73915,259131,13245,6257,9483,11449,9486,8869,10869,10682,11067,18891,29458,38084,27405,17922,19597,16367,70117,16863,43505,69694,103024,209041,353649,37089,505374,569011,405579,404830,364077,40753,749,163432,252706,17111,20857,533,8389,281898,259131,22767,259131,198778,60353,198778,153798,44980,60353,1031,198778,716,729,995,755,684,973,519,804,1467,1753,2277,2904,3972,14033,13552,21469,18764,31280,23836,28995,11833,10282,3602,2584,1665,2011
IL-09,311314,16876,15474,10693,7711,4441,4951,12961,25363,23669,22578,24627,21629,22390,21669,7659,10046,4520,6973,10104,7241,4946,5236,320550,14097,15414,9115,7779,3052,2730,13978,24011,23051,21102,19840,22777,22849,24345,8739,12191,5671,8734,13170,9566,9096,9907,631864,435679,66418,1056,93701,0,16781,18229,554139,77725,428716,309506,111354,7856,203148,453699,54027,86639,107460,119663,85910,542927,52193,5057,14904,8830,303641,67639,13874,15645,153572,42050,18093,453699,60230,23596,11594,5487,59433,33342,7238,4653,89600,257459,21423,15397,14216,12689,12075,13750,12039,10931,9872,18436,26175,30415,19977,12850,12956,14258,52843,10607,30064,53228,85557,195295,347037,22147,489107,524456,340492,340444,309894,30550,48,183964,213028,9426,15830,607,4441,285249,257459,27790,257459,148633,108826,148633,99111,49522,108826,926,148633,228,59,342,192,385,453,209,274,566,917,2027,2086,1857,6434,4968,10035,10084,21391,21473,32240,13920,11529,4613,2351,1583,2011
IL-10,323412,22797,22656,16969,11617,4178,3734,13257,18195,16342,20757,19400,24761,25535,21415,8298,12356,4477,8810,9794,7635,5100,5941,326718,22458,22607,15005,9361,3097,2743,10205,16416,14621,19156,21857,23904,28846,21863,10375,12241,5333,9390,11823,8128,8599,10752,650130,528463,29327,1023,57332,0,23425,10560,547179,102951,517434,379328,131330,6776,132696,432120,36882,77468,93282,128062,96426,570073,37842,10798,20510,4325,301253,20291,9526,22447,174314,30206,8710,432120,62567,31205,15341,5981,65495,33661,7123,3115,59327,231396,9313,7006,8684,10540,8430,9659,9059,7682,7527,16324,19848,26026,22998,15141,19928,33231,76127,17438,44220,76631,126345,313389,587121,31991,446983,512616,337428,326090,297734,28356,11338,175188,203213,8884,11674,207,4597,248199,231396,16803,231396,177372,54024,177372,125978,51394,54024,1088,177372,405,442,286,141,518,191,235,830,715,1391,2184,3067,2677,7931,7021,8331,7953,14499,14753,31756,18450,30030,11342,12224,1850,2011
IL-11,375494,28189,28380,17814,12764,7023,6386,14182,21270,23361,24063,27132,27602,28489,23133,9175,11138,6093,7479,9096,6159,4784,4846,387259,24176,27481,17205,14289,5851,7135,13959,22642,25403,23687,27667,29295,27923,25774,8341,11237,5903,8120,12363,8988,8431,8630,762753,638229,67350,1732,8566,48,32702,14126,670489,92264,711972,600440,107846,3686,50781,488224,58936,163989,149996,74945,40358,667810,52314,22948,8899,2293,346761,7882,8421,11092,219192,51258,9299,488224,34878,12494,3076,1424,40067,19381,2390,1593,90235,271118,15424,13830,14726,15136,14276,12533,12248,11945,11710,21662,29791,38895,25724,13570,12808,6840,56151,13408,33213,56267,84754,154697,236448,49724,520079,593202,397891,397881,354349,43532,10,195311,231005,22878,34352,1247,6179,297555,271118,26437,271118,202896,68222,202896,142019,60877,68222,781,202896,2395,1056,1764,1035,1548,1597,818,2417,3173,4279,6694,7906,7897,21672,18911,27751,16921,29340,17718,17997,5917,2336,1141,613,1223,2011
IL-12,324720,21258,21147,14024,9352,5599,6522,15684,21554,20921,19113,21662,23511,24686,20386,8737,10671,4753,8013,9256,8678,4516,3818,341356,21678,20955,13383,9724,3917,7309,13655,21595,20419,18820,22791,23568,24838,22151,8786,11672,6293,8197,12501,10063,9915,8650,666076,521555,118496,1103,7591,27,3343,13961,646073,20003,645219,448008,192260,4951,20857,440534,50933,140998,154600,59287,34716,583400,44377,19636,9148,1791,277826,6378,6031,6726,183747,50889,7730,440534,28266,10636,3402,2464,31021,14399,2281,1534,133748,257541,28894,18814,17278,16917,13941,14121,13613,10481,9749,24776,23665,27149,18549,7372,8458,3764,42005,8393,23825,42592,67528,135094,213121,61893,447258,531472,314671,311526,280945,30581,3145,216801,188349,17676,25923,610,3078,298075,257541,40534,257541,179451,78090,179451,103700,75751,78090,702,179451,3576,3261,3200,2812,4341,4415,3638,9137,8755,11085,11912,13228,10420,19159,12846,15207,9391,15451,7669,5727,2229,1324,324,344,772,2011
IL-13,380302,28970,29891,20994,10165,3995,4074,14169,22641,21306,25254,33110,31330,28153,26111,7730,11628,7205,7606,8390,7108,4266,4171,401459,31763,29760,18376,7637,3308,4501,13029,20710,24498,27222,32994,32865,32228,25403,8927,12372,6206,8085,10260,8715,6830,9487,781761,622924,49882,991,71248,37,15126,21553,698169,83592,664800,523054,134345,7401,116961,512811,28211,105427,138800,140439,99934,695234,30513,33389,9054,5404,371883,27008,5349,17747,234704,41600,12338,512811,67389,36319,12483,5591,73050,35060,7797,2684,42940,269536,8083,6073,8778,8127,7200,8927,11454,10736,9122,19218,29009,38504,28173,21837,22734,31561,79517,21823,50831,79832,121080,260000,457754,34609,538154,602072,417455,416529,379277,37252,926,184617,269038,13636,19392,308,5199,288186,269536,18650,269536,216357,53179,216357,163269,53088,53179,1137,216357,108,478,244,654,349,257,294,712,400,657,1729,1400,1686,7944,11268,15437,16180,31714,30299,43063,25196,15003,5435,5850,1804,2011
IL-14,421137,35578,31107,20133,14483,5225,7668,15782,27316,28761,31164,31062,29461,28475,22305,10468,12306,6780,7210,9578,6602,4853,3236,424706,34258,30095,19014,12321,7575,5179,14298,26777,28121,30230,30830,30955,28589,23837,7847,14782,5315,9861,11399,8506,5849,7029,845843,651355,43472,2664,28800,116,100659,18777,633826,212017,713334,556897,148608,7829,132509,529504,75824,134111,155989,105709,57871,723241,61810,32513,12219,5204,395461,9292,6523,18288,255277,57418,10857,529504,52040,20252,4657,3532,53669,25067,2663,1700,104049,279490,13224,10006,11395,13958,12110,12095,10655,10455,11017,24100,30520,39553,29844,17705,15774,17079,64449,15837,39998,64963,98204,188507,295009,41912,569988,636952,447804,447669,404644,43025,135,189148,277208,18510,37530,896,10412,305916,279490,26426,279490,208650,70840,208650,158563,50087,70840,878,208650,465,866,723,421,311,436,365,1967,1642,3169,3313,3632,5044,16544,18163,27713,20261,32025,22119,29363,10860,6854,1034,1360,1553,2011
IL-15,335829,22152,19158,13081,14399,8157,8521,21098,21005,21537,19196,19234,21391,24816,21670,7433,11070,5482,8474,10027,7631,6101,4448,341178,17675,21477,11686,12307,9579,8710,15450,21124,20867,21437,17493,21981,23510,22024,7777,12411,5875,9849,11404,10545,7554,10229,677007,583387,48901,1042,28210,43,3467,11957,651968,25039,637810,489601,143838,4371,39197,433595,39657,136914,135006,73698,48320,553437,71382,28379,11865,5491,307715,9424,14300,14622,202796,67251,18677,433595,35805,13324,3645,5685,37893,20085,2917,2664,107625,266706,25219,14097,16345,15865,14664,14702,11515,12245,11115,22637,28825,32152,20733,10155,8199,8238,48946,9937,27854,48846,75427,156802,270642,47937,483572,548329,344025,343718,313257,30461,307,204304,207992,18290,27160,680,6582,298346,266706,31640,266706,181834,84872,181834,108721,73113,84872,705,181834,2947,2757,1557,2623,3127,3177,2308,7788,9620,8361,10387,12446,10497,21740,18707,17147,10208,15361,8221,7916,2447,1636,402,454,815,2011
IL-16,354460,27005,26371,16982,11349,4469,4746,9910,20265,19874,22601,24613,28750,26338,22767,9073,12910,5526,9435,10708,7485,5563,4783,366544,26708,25338,15532,9105,4204,3394,12580,20200,21260,22532,26515,27776,27953,24475,7563,13606,5762,9802,13572,9220,9562,8912,721004,620093,47589,1209,15112,145,22308,14548,646165,74839,663002,505167,154569,3266,58002,479401,53836,156110,154511,75446,39498,635032,53389,15260,9005,1300,326609,5264,5120,13463,192038,33646,7673,479401,36389,15469,4307,1254,39057,15774,1757,937,97868,265203,18353,12633,16175,14892,12297,14745,12031,11434,11470,21268,30639,33975,20381,13674,11920,9316,53165,12212,31497,53738,81989,166358,272171,47090,491650,561716,376778,376360,331471,44889,418,184938,219339,17019,33041,705,8915,298235,265203,33032,265203,200946,64257,200946,141827,59119,64257,741,200946,2144,1913,1966,1180,854,914,1064,2695,4585,6201,8276,8357,10026,26049,22260,23662,14709,24439,15020,14440,5329,3110,673,1080,1143,2011
IL-17,316951,20607,22334,12159,10806,4534,5912,11580,19561,19016,18753,19984,21888,24763,20062,8978,11141,5537,9487,10581,7535,6129,5983,326826,20116,20752,13154,8876,5074,5051,11373,19988,17897,18797,18339,21474,23551,21838,8094,12724,5619,9057,13361,11875,10452,10644,643777,550578,59755,1994,5668,132,11065,14585,608871,34906,621847,488690,130281,2876,21930,433108,57338,156568,141603,51606,25993,545713,55662,22778,8730,1706,277325,3107,9288,9267,165058,40104,4490,433108,25675,8210,2096,1811,25931,12240,863,773,104745,256086,23052,18487,18973,18290,16793,13805,13004,14598,13059,22803,27019,26904,15249,6421,4508,3121,41607,9869,24468,41650,63323,121674,191653,54459,441310,513242,311088,310543,282260,28283,545,202154,183013,17583,31868,590,6166,287620,256086,31534,256086,179044,77042,179044,100870,78174,77042,621,179044,3732,2395,2960,2693,3013,4261,3241,10731,13088,14870,14567,15285,11963,21186,13549,13002,7245,8476,5500,4179,1064,1221,343,480,692,2011
IL-18,320146,20038,20880,13153,8202,3723,4991,9991,21602,21326,19436,20993,22120,23652,23405,10456,11950,5612,8646,10332,8858,5742,4849,333360,20740,19017,13103,8239,3863,4961,11494,19201,19364,18919,21910,22971,24606,26099,8933,11766,5916,10320,12441,10862,8798,11278,653506,576144,52790,1425,11143,78,3531,8395,634570,18936,632385,526222,103753,2410,21121,452363,41640,152592,146416,73089,38626,561329,49877,24741,7634,4054,294482,2392,6111,8894,158244,33247,5836,452363,36249,13255,3855,2308,36840,15272,2648,1288,84312,262663,17545,14187,15987,15140,14354,15773,13994,15080,11023,23259,26866,34493,19878,9241,9330,6513,49281,12296,30289,49153,75796,147620,240501,51994,454363,525204,328672,327202,299158,28044,1470,196532,208646,17406,28059,720,5157,290020,262663,27357,262663,191389,71274,191389,114942,76447,71274,637,191389,2812,1896,1986,1684,2013,2796,1343,5164,7865,10711,13421,14594,12925,24896,17565,22521,11164,14675,8521,7248,2355,2090,374,770,805,2011
IL-19,342099,22427,21668,13544,9215,5076,5234,11821,22541,20768,21403,22809,25164,26984,22771,8650,12855,6516,9531,11750,9559,6273,5169,339508,20423,19589,12512,7744,5286,4343,10758,18784,20206,18349,21893,23912,26933,24476,9794,12162,6684,10230,14184,11007,9310,10449,681607,633563,27775,1430,4709,0,3183,10947,667188,14419,671134,519357,148311,3466,10473,471116,50662,160424,159064,65641,35325,587175,47902,26644,11564,1225,306266,2132,5784,12618,162936,36482,5994,471116,30887,11658,3533,1854,34754,15665,1813,802,79478,264601,16218,15694,16448,16779,13474,13350,12855,15473,11470,24026,29824,33298,21845,9907,7859,6081,50154,12569,30191,49938,75044,147015,242322,58850,471268,548162,338254,337779,311163,26616,475,209908,214925,26400,29344,475,5621,293413,264601,28812,264601,205218,59383,205218,118840,86378,59383,663,205218,3746,3249,2855,3070,3550,3992,3477,8755,9689,12044,12855,13040,9958,24833,17043,19233,12413,17689,11941,7027,1849,1715,584,611,753,2011
IN-01,343018,26141,24343,16235,9600,4154,4292,13111,22261,22335,22927,21386,23555,25897,24361,8178,11355,5838,6389,10739,7386,4501,4765,362740,24148,24390,15447,9418,5348,3390,12499,22219,23382,22968,22871,24551,28798,24062,8585,14008,6812,9811,10807,10764,7832,8308,705758,503551,132378,2672,7053,177,43494,16433,604526,101232,661820,421165,233868,6787,43938,467651,56489,168722,143944,66292,32204,621085,48900,10984,14444,1345,297250,6097,4058,7958,188914,39703,6349,467651,33193,9754,3176,1863,33099,14066,2014,1331,119071,258932,23969,16374,15086,13998,12252,12603,12125,10624,11305,22266,26002,35481,20458,12497,8564,5328,50376,9906,28200,50321,77801,148921,242733,47860,481566,550590,343624,343587,305889,37698,37,206966,205528,22023,31542,171,5171,293622,258932,34690,258932,182933,75999,182933,126888,56045,75999,762,182933,2300,1680,958,1619,1221,1452,887,4306,5157,6250,6776,10614,10129,24790,21795,22474,13877,18860,12383,9071,3170,1733,700,731,974,2011
IN-02,338731,22839,24195,15376,9900,4299,4310,14014,21310,21962,21193,23816,23093,25547,24971,8928,10078,6317,8559,8344,6800,6290,4050,347341,23595,22825,14551,10156,4602,6514,11711,19755,20699,19458,22493,24217,25048,24258,9545,11402,5594,8055,11735,10267,9439,8869,686072,576784,60597,1227,8087,28,22738,16611,628182,57890,646784,475676,167041,4067,39288,452092,65362,172880,128309,52439,33102,563968,70976,22663,17709,2291,293908,2237,6533,9342,183767,42211,6432,452092,24986,10028,2840,3003,27453,13877,1700,1654,128245,261101,22686,17210,17952,17083,16824,18014,14668,12755,12326,20791,29209,27982,16415,7190,5304,4692,42108,10268,25775,42516,66239,129977,211881,48390,469111,538121,337744,337647,299503,38144,97,200377,201214,17186,40905,686,10059,299827,261101,38726,261101,185189,75912,185189,123975,61214,75912,677,185189,4670,2691,1908,2271,1882,2931,1709,5650,9548,10994,11070,14562,13922,25472,17375,20507,9045,12660,5686,6171,2187,1606,329,343,774,2011
IN-03,356240,26276,29861,17270,11354,4853,4078,14489,21213,23640,22204,22275,23939,25661,22542,8266,12321,5614,8548,8914,6750,5458,3845,362364,25664,27387,14736,10152,4732,4121,12971,21737,22995,20499,24276,23999,26499,23463,7412,13888,6102,8422,11679,8930,7307,10139,718604,625596,45106,2247,12370,99,16485,16701,669896,48708,683175,513984,166165,3026,35429,458537,64675,154343,137939,66551,35029,614193,60996,19319,13677,1305,319897,1901,2981,12519,195092,39298,3914,458537,31163,12324,3757,2877,35388,14128,1313,630,106289,269215,18147,16032,14483,15432,16032,16044,15378,15812,13706,27805,29753,34022,15676,8455,6082,6356,47287,12090,29969,47477,70095,144017,253839,45943,479161,546256,360363,360180,324523,35657,183,185893,220272,18784,40424,965,11557,307392,269215,38177,269215,200135,69080,200135,136316,63819,69080,640,200135,4525,2786,2710,1464,942,2049,1196,3654,6111,9330,11387,15733,13704,29991,22058,21073,11736,14504,8913,9567,2991,2324,675,712,823,2011
IN-04,400076,29641,27592,17569,15400,6732,7630,22102,25055,26305,26918,26144,27237,27761,24478,8993,11796,7465,7903,10278,7679,5422,4472,403969,27509,29043,16142,12077,8631,5966,16881,24570,25085,26091,27951,27723,28366,25686,9659,12889,7021,9297,12092,9156,8347,8822,804045,725206,33304,820,20473,232,10104,13906,770070,33975,762693,564539,191837,6317,41352,510661,48236,173748,149293,90631,48753,669224,70508,36676,12215,7064,371635,3500,7236,12353,234130,61132,12345,510661,43929,15683,4604,5487,46702,18048,2444,2487,96349,298481,20085,14605,13529,14587,14217,18846,14029,16527,13974,28730,33535,38616,25596,14338,9455,7812,52259,12769,33364,52724,78589,153840,253018,57043,548278,628231,409236,408477,377043,31434,759,218995,261510,24742,34845,510,10553,327751,298481,29270,298481,212480,86001,212480,156030,56450,86001,768,212480,3933,2146,1430,952,1359,1014,548,1728,2790,4963,7509,14207,14780,34371,27337,29393,15865,17347,9562,12615,4555,2812,574,690,972,2011
