,B01001_002E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B01003_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B03003_002E,B03003_003E,B05002_002E,B05002_003E,B05002_004E,B05002_009E,B05002_013E,B06009_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B07001_017E,B07001_033E,B07001_049E,B07001_065E,B07001_081E,B08101_001E,B08101_025E,B08101_033E,B08101_049E,B14001_002E,B14001_008E,B14001_009E,B15002_001E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,B17001_002E,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B19013_001E,B19081_001E,B19081_002E,B19081_003E,B19081_004E,B19081_005E,B19081_006E,B21001_002E,B21001_003E,B23025_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E,B24020_001E,B24020_112E,B24020_131E,B24020_263E,B24020_282E,B25001_001E,B25002_002E,B25002_003E,B25003_001E,B25003_002E,B25003_003E,B25027_001E,B25027_002E,B25027_010E,B25063_001E,B25064_001E,B25075_001E,B25075_002E,B25075_003E,B25075_004E,B25075_005E,B25075_006E,B25075_007E,B25075_008E,B25075_009E,B25075_010E,B25075_011E,B25075_012E,B25075_013E,B25075_014E,B25075_015E,B25075_016E,B25075_017E,B25075_018E,B25075_019E,B25075_020E,B25075_021E,B25075_022E,B25075_023E,B25075_024E,B25075_025E,B25088_001E,year
AZ-03,339253,20503,27085,15241,8403,3675,4759,13175,25797,24546,22004,24628,27328,23747,20516,7131,11064,5711,8026,8660,7822,3987,3727,352640,22113,23748,10878,7766,3945,5049,12212,24849,24888,23868,25336,28542,25153,22241,10685,12126,7151,9332,10534,7378,6943,6081,691893,592332,22217,7482,22336,626,27888,19012,570554,121339,602003,234271,358868,8864,89890,469801,41278,108157,160603,104476,55287,542004,109579,3400,22550,5680,330758,8245,4942,26416,173567,36827,8790,469801,51347,17922,7811,2286,53129,19790,5142,2336,93330,272373,19243,13089,13747,15127,15374,15620,12294,12667,11588,22873,25611,28648,23164,15167,12366,15795,52327,12154,31542,52886,86409,200446,366143,49624,478445,,,,,,,,240227,14801,12077,326,2847,321483,272373,49110,272373,171494,100879,171494,129660,41834,100879,855,171494,1748,1239,637,854,822,1277,710,1164,2763,3114,3545,4427,5112,14901,10799,15269,10825,20050,16067,21431,12291,10028,4811,7610,1393,2010
AZ-04,364347,33991,32603,15211,14025,6358,6350,17641,29397,31840,27180,27557,19969,18014,16238,5746,6911,3233,4203,4750,4304,2052,1534,344319,30540,31132,17854,12040,6603,6576,16550,29813,27608,23513,24389,19218,18557,14549,4381,7629,3413,4451,5015,3901,3440,2707,708666,482847,73209,17015,15082,2162,99556,18795,261869,446797,515174,336345,174396,4433,193492,395512,134254,114509,95113,34961,16675,534816,137172,3967,15120,4511,253656,11186,5657,9640,208268,35424,4799,395512,18057,4810,2031,1158,16904,6693,1514,469,238675,220837,34294,19770,15184,18440,15076,18670,15067,11096,9067,12204,16868,17338,7278,4917,2975,2593,31498,5360,18511,31432,49763,109926,181563,27051,454426,,,,,,,,181074,20084,23262,542,5721,265041,220837,44204,220837,100586,120251,100586,76302,24284,120251,747,100586,2965,1366,1277,885,701,2448,787,4977,5859,6964,6280,9071,6743,14685,8827,7935,4905,5995,3146,2707,1167,190,246,460,1046,2010
AZ-05,327383,16823,20396,12553,12877,5608,6256,20697,27053,21444,22347,21921,23075,23617,19497,8477,9586,4612,8191,9655,6882,4721,3784,333063,17621,17876,12053,13072,5047,5563,14952,23461,19966,20586,21698,26320,25653,21606,8662,10635,6417,9555,11060,7546,7768,7572,660446,550779,27803,17079,30728,3406,11065,19586,554531,105915,580627,195780,374874,9973,79819,443367,32486,80843,141920,121210,66908,505274,106883,7673,28610,4888,323603,8863,6062,25553,184739,62721,14552,443367,63205,21615,8064,5291,58005,23899,4318,3721,91434,273967,19722,11490,14058,13188,13056,14667,12783,12379,10317,22490,26563,31271,21579,14880,16433,19091,55876,12253,33450,56473,91487,213176,375356,46104,481080,,,,,,,,223961,11596,11763,488,2249,328635,273967,54668,273967,166185,107782,166185,126757,39428,107782,883,166185,1107,1119,492,590,516,977,326,791,723,1329,1574,1173,1804,8250,9193,15835,11521,22162,17621,22093,12405,18492,7774,8318,1459,2010
AZ-06,472803,38092,37339,21307,12306,6848,4821,17126,28996,31695,32079,32752,35440,30512,24227,9757,13013,7886,10921,15748,10727,8352,4635,497845,38600,33977,22762,10402,5826,5042,18436,31611,32886,35877,31301,34654,30812,28037,11046,16850,9744,11420,17818,12712,11636,9450,970648,793317,36793,14330,42629,2010,56777,24792,768443,202205,863098,332059,520523,10516,107550,622594,62423,152816,233361,119002,54992,763404,129831,24410,37023,3728,416114,3401,3688,23138,273035,55747,10305,622594,63747,20555,4534,4130,55255,21701,2366,1706,99433,340756,15228,12441,15232,17100,16273,17232,18912,19359,15587,33435,37320,46038,34519,17382,13605,11093,56691,15892,36869,56631,85079,160318,256193,77693,625051,,,,,,,,293550,21961,19072,668,5491,410449,340756,69693,340756,246420,94336,246420,182103,64317,94336,943,246420,4776,3655,2878,2612,956,1206,1286,2972,2743,4893,3798,6131,8870,22187,21322,31147,19317,33322,24338,28833,10292,6509,1285,1092,1296,2010
AZ-07,431893,30531,36587,21529,19736,7777,8188,19365,33998,29451,27165,26362,25758,25380,19338,9682,10382,5969,8009,12397,8316,5077,3608,434570,36218,32323,20464,16827,7346,6586,20794,30718,28511,31323,25105,27125,24905,21600,8749,11917,6443,10056,13530,8091,5985,5137,866463,636082,32333,47246,13067,1163,114128,22444,377604,488859,695786,383043,302050,10693,170677,510087,124242,142359,167089,49330,27067,682571,117079,24801,27380,5597,329176,6360,8967,11796,258461,60997,8132,510087,24836,9290,2905,1770,24494,10635,1452,1015,190296,281130,28955,20395,16777,20910,18440,18827,16977,15472,11912,24140,30423,28964,15805,6516,4456,2161,39777,9148,24324,39921,61790,114339,174744,58459,553621,,,,,,,,223708,26813,22268,764,5972,342805,281130,61675,281130,180954,100176,180954,123876,57078,100176,765,180954,7199,3404,2844,2379,1328,1549,1636,4587,3862,6120,6847,12339,9672,30764,20331,21080,12588,13080,7120,6327,3333,1833,497,235,952,2010
AZ-08,370745,21708,24870,14637,8422,3479,4323,16632,22818,21901,21788,21485,25320,26275,25246,10600,14404,9529,11907,16156,11978,8335,7397,378443,20289,20874,12995,7239,4288,5288,12242,22582,21983,19954,22047,25771,29804,28854,10891,16996,8220,13588,17744,13686,11002,13080,749188,642602,25742,7114,21371,940,29486,21933,579757,169431,675983,236640,424949,14394,73205,531341,39758,112887,194482,109090,75124,609961,83335,10637,32500,5161,322245,4184,6347,20274,185559,49210,11884,531341,53884,21079,8310,8290,55206,28470,4956,4019,93333,311579,22104,16704,15150,17971,17988,18250,16756,15720,15612,26950,33194,37961,24020,12561,10787,9851,49825,11980,30821,49873,76290,157504,267597,90071,494983,,,,,,,,212225,15655,11098,562,2231,361321,311579,49742,311579,208497,103082,208497,140539,67958,103082,801,208497,3360,2223,1389,1093,1227,1028,917,2144,2328,2371,3428,4212,3096,17143,17706,25045,17712,29432,21594,25171,11357,8739,3709,2073,1083,2010
AR-01,339125,25467,21328,14939,12110,4064,5353,10789,21247,20387,22631,21326,23007,23442,19706,9890,11673,7331,8283,13894,8464,6011,4487,349437,23447,22994,13711,10988,5037,4279,11638,18236,18997,22171,21134,24621,23900,22523,9475,13713,7090,10023,15434,10324,8786,9969,688562,555700,115632,2426,2328,162,2969,9345,671262,17300,676151,443029,230284,2838,12411,458175,90337,171244,130590,42418,23586,561318,72261,29092,16153,1680,269676,620,5661,9267,170861,35678,3719,458175,18566,7837,2569,1538,23852,9673,1357,612,147900,266718,32896,23896,21142,21521,18608,19378,14825,13690,13218,17517,23913,21134,11693,5867,4281,3139,33862,8374,20343,34098,54659,114533,185227,60778,460167,,,,,,,,185852,24239,28324,898,7580,317451,266718,50733,266718,180421,86297,180421,93921,86500,86297,579,180421,5143,5209,3450,4412,4739,4171,3374,12961,10334,12866,10961,14179,9302,20880,14172,12888,6084,9390,6221,6519,1376,1295,75,420,566,2010
AR-02,367381,24364,27825,15404,9571,5175,6055,17732,27150,25485,23048,25719,25610,25262,23640,8343,10304,6732,7996,10120,8059,4595,3656,386291,25312,23163,14860,9271,6226,5857,18163,27210,25123,26373,24479,27010,27343,25267,8447,12698,7259,10475,11000,9636,9287,7737,753672,561237,161627,3236,9851,50,8505,9166,713550,40122,718560,491031,220837,6692,35112,495063,66969,153591,148146,85053,41304,608061,76422,35954,21069,2652,337044,1794,4697,8710,201479,46487,11976,495063,44071,10658,5599,3151,40982,16905,3373,1618,119476,293065,25492,17430,20478,18959,17976,20158,14870,14312,13075,23222,32094,31808,17545,9780,8816,7050,43685,10456,26243,43936,69146,146717,252007,64963,504265,,,,,,,,245665,22424,25752,234,6809,333980,293065,40915,293065,189941,103124,189941,120284,69657,103124,720,189941,4082,2338,2368,2453,2087,3346,2435,6262,5837,7841,9539,12943,9200,22098,20046,19337,13449,15616,9299,8242,5083,3707,672,1661,790,2010
AR-03,405796,29167,30519,16232,12773,7419,6207,17713,27650,27519,27487,26107,27688,26977,25807,7259,12599,6985,10412,10431,8233,5336,4915,419699,29311,30420,17452,13743,6875,8943,14624,27614,27600,25575,25603,28515,28162,24019,10941,13727,8079,9281,13589,10167,7802,9801,825495,712193,21792,9477,18001,4763,36558,22711,727535,97960,758504,418404,333542,6558,66991,525880,90568,173575,146258,79818,35661,675128,81856,28037,29387,2904,365171,1992,8125,11270,224587,52503,7158,525880,40043,11733,3636,2879,39775,14295,2157,961,132523,308338,24002,22677,21687,21571,22054,21332,18100,17973,14952,25366,29351,29852,16932,9070,7119,6300,40674,10500,25301,40694,63069,135958,232652,67615,545662,,,,,,,,260282,21901,36615,1223,13419,358428,308338,50090,308338,207856,100482,207856,133517,74339,100482,640,207856,3522,3087,2511,1893,2446,3371,1781,6076,6078,7050,10725,14842,11466,26456,25393,23050,12190,15181,10296,9944,4767,3791,977,963,770,2010
AR-04,318535,18622,23600,12925,12749,4734,4080,9703,18177,18483,20314,18005,22991,24100,19299,8579,12705,6137,10665,12571,9038,5687,3423,335342,20168,21670,13779,9926,4891,4044,10322,19770,17399,21482,20389,22402,24014,21646,8631,13522,7143,10461,13879,10677,9934,8781,653877,460565,165360,3486,3060,115,13356,7935,626585,27292,636724,439776,194377,2571,17153,440304,79550,165666,128910,45599,20579,543299,61658,27717,12518,1138,254077,1652,3718,7012,163136,31736,4217,440304,21858,5724,2645,1014,23741,10091,794,311,134999,246781,27230,21726,20431,19630,17541,15731,15754,12597,11406,18297,21346,21855,11541,4781,3850,3065,35312,8650,21197,35232,56123,114945,184736,54215,446101,,,,,,,,171991,22457,26878,1142,6692,307959,246781,61178,246781,173350,73431,173350,85496,87854,73431,596,173350,5485,6039,4178,4731,5527,7754,4259,13593,10570,13137,10338,14029,8097,15598,11068,9499,5840,9917,6249,3499,1657,1152,428,706,532,2010
